star_name,star_name,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_age_error_min,star_age_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_teff,star_teff_error_min,star_teff_error_max,Spectral type,mag_v,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
HAT-P-17,hat-p-17,0.857,0.039,0.039,0.837,,,7.8,,,,,0.0,,,5246.0,,,,10.54,,,
HAT-P-18,hat-p-18,0.77,0.031,0.031,0.717,0.026,0.026,12.4,6.4,6.4,6.4,6.4,0.1,8.0,8.0,4870.0,50.0,50.0,,12.76,,,
HAT-P-19,hat-p-19,0.842,0.042,0.042,0.82,0.048,0.048,8.8,5.2,5.2,5.2,5.2,0.23,0.08,0.08,4990.0,130.0,130.0,,12.9,,,
HAT-P-2,hat-p-2,1.34,0.09,0.09,1.54,0.12,0.12,2.7,0.5,0.5,0.5,0.5,0.04,0.05,0.05,6414.0,51.0,51.0,,8.71,,,
HAT-P-20,hat-p-20,0.756,0.028,0.028,0.694,0.21,0.21,6.7,3.8,3.8,3.8,3.8,0.35,0.08,0.08,4595.0,80.0,80.0,,11.34,,,
HAT-P-21,hat-p-21,0.947,0.042,0.042,1.105,0.083,0.083,10.2,2.5,2.5,2.5,2.5,0.01,0.08,0.08,5588.0,80.0,80.0,,11.46,,,
HAT-P-22,hat-p-22,0.916,0.035,0.035,1.04,0.044,0.044,12.4,2.6,2.6,2.6,2.6,0.24,0.08,0.08,5302.0,80.0,80.0,,9.73,,,
HAT-P-23,hat-p-23,1.13,0.05,0.05,1.29,0.05,0.05,4.0,1.0,1.0,1.0,1.0,0.16,0.03,0.03,5924.0,30.0,30.0,,11.94,,,
HAT-P-24,hat-p-24,1.191,0.042,0.042,1.317,0.068,0.068,2.8,0.6,0.6,0.6,0.6,-0.16,0.08,0.08,6373.0,80.0,80.0,,11.82,,,
HAT-P-25,hat-p-25,1.01,0.032,0.032,0.959,0.037,0.037,3.2,2.3,2.3,2.3,2.3,0.31,0.08,0.08,5500.0,80.0,80.0,,13.19,,,
HAT-P-26,hat-p-26,0.816,0.033,0.033,0.788,0.043,0.043,9.0,4.9,4.9,4.9,4.9,-0.04,0.08,0.08,5079.0,88.0,88.0,,11.74,,,
