star_name,star_name,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_age_error_min,star_age_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_teff,star_teff_error_min,star_teff_error_max,Spectral type,mag_v,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
Kepler-649,kepler-649,0.97,0.05,0.04,0.94,0.05,0.06,,,,,,-0.17,0.122,0.112,5871.0,54.67,62.24,,,,,
Kepler-65,kepler-65,1.199,0.03,0.029,1.399,0.012,0.012,3.89,0.48,0.59,0.48,0.59,0.17,0.06,0.06,6211.0,66.0,66.0,,11.018,,,
Kepler-650,kepler-650,1.08,0.05,0.08,1.35,0.21,0.23,,,,,,0.13,0.084,0.092,5849.0,77.61,64.94,,,,,
Kepler-651,kepler-651,0.92,0.04,0.03,0.87,0.03,0.04,,,,,,-0.04,0.115,0.107,5522.0,54.3,64.16,,,,,
Kepler-652,kepler-652,0.97,0.02,0.02,0.88,0.01,0.02,,,,,,0.17,0.068,0.056,5490.0,40.88,43.22,,,,,
Kepler-653,kepler-653,1.02,0.04,0.05,1.19,0.16,0.17,,,,,,0.23,0.078,0.077,5665.0,60.88,54.97,,,,,
Kepler-654,kepler-654,1.04,0.04,0.05,1.11,0.11,0.17,,,,,,0.04,0.09,0.094,5865.0,89.45,93.8,,,,,
Kepler-655,kepler-655,1.15,0.05,0.06,1.24,0.12,0.18,,,,,,0.0,0.103,0.092,6170.0,62.57,72.99,,,,,
Kepler-656,kepler-656,0.86,0.04,0.04,0.82,0.05,0.05,,,,,,-0.04,0.172,0.15,5281.0,58.78,63.29,,,,,
Kepler-657,kepler-657,1.01,0.06,0.06,1.01,0.09,0.2,,,,,,0.03,0.158,0.138,5808.0,121.47,88.65,,,,,
Kepler-658,kepler-658,0.63,0.03,0.02,0.6,0.02,0.02,,,,,,-0.04,0.104,0.092,4103.0,37.36,39.35,,,,,
Kepler-659,kepler-659,0.79,0.04,0.03,0.74,0.04,0.03,,,,,,0.02,0.178,0.158,4870.0,56.1,49.22,,,,,
Kepler-66,kepler-66,1.038,0.044,0.044,0.966,0.042,0.042,1.0,0.17,0.17,0.17,0.17,0.012,0.003,0.003,5962.0,79.0,79.0,,15.3,,,
Kepler-660,kepler-660,0.75,0.05,0.04,0.71,0.04,0.03,,,,,,-0.07,0.182,0.149,4779.0,49.24,44.67,,,,,
Kepler-661,kepler-661,0.7,0.04,0.03,0.67,0.04,0.03,,,,,,-0.05,0.154,0.164,4483.0,57.11,56.76,,,,,
Kepler-662,kepler-662,0.79,0.04,0.04,0.74,0.04,0.03,,,,,,-0.03,0.171,0.157,4897.0,59.98,52.49,,,,,
Kepler-663,kepler-663,0.86,0.04,0.04,0.82,0.04,0.06,,,,,,0.03,0.165,0.147,5264.0,127.67,90.56,,,,,
Kepler-664,kepler-664,1.01,0.05,0.06,1.02,0.1,0.26,,,,,,0.07,0.15,0.146,5754.0,86.08,73.56,,,,,
Kepler-665,kepler-665,0.79,0.04,0.04,0.74,0.04,0.03,,,,,,-0.03,0.168,0.146,4913.0,86.97,93.83,,,,,
Kepler-666,kepler-666,1.03,0.08,0.09,1.05,0.12,0.25,,,,,,0.01,0.173,0.136,5887.0,179.03,164.92,,,,,
Kepler-667,kepler-667,0.91,0.04,0.04,0.87,0.05,0.07,,,,,,0.15,0.158,0.152,5327.0,70.39,53.04,,,,,
Kepler-668,kepler-668,0.87,0.05,0.04,0.82,0.05,0.06,,,,,,-0.06,0.171,0.151,5352.0,60.88,60.59,,,,,
Kepler-669,kepler-669,1.15,0.07,0.1,1.2,0.13,0.32,,,,,,0.14,0.143,0.147,6038.0,109.18,97.84,,,,,
Kepler-67,kepler-67,0.865,0.034,0.034,0.778,0.031,0.031,1.0,0.17,0.17,0.17,0.17,0.012,0.003,0.003,5331.0,63.0,63.0,,16.4,,,
Kepler-670,kepler-670,0.99,0.06,0.05,0.99,0.09,0.22,,,,,,0.07,0.149,0.139,5709.0,134.39,89.42,,,,,
Kepler-671,kepler-671,0.97,0.04,0.05,0.95,0.07,0.17,,,,,,0.08,0.137,0.145,5624.0,91.38,74.83,,,,,
Kepler-672,kepler-672,0.95,0.05,0.04,0.92,0.06,0.11,,,,,,-0.01,0.185,0.149,5627.0,79.72,75.47,,,,,
Kepler-673,kepler-673,0.88,0.05,0.04,0.84,0.05,0.07,,,,,,0.0,0.171,0.149,5355.0,71.68,60.4,,,,,
Kepler-674,kepler-674,0.6,0.04,0.04,0.57,0.02,0.03,,,,,,-0.27,0.138,0.143,4192.0,42.83,40.95,,,,,
Kepler-675,kepler-675,0.79,0.04,0.04,0.75,0.04,0.03,,,,,,-0.05,0.177,0.147,4945.0,70.99,69.87,,,,,
Kepler-676,kepler-676,0.51,0.03,0.02,0.49,0.03,0.02,,,,,,-0.02,0.087,0.087,3701.0,40.14,39.31,,,,,
Kepler-677,kepler-677,1.0,0.05,0.05,0.99,0.08,0.21,,,,,,0.06,0.163,0.143,5723.0,87.95,68.82,,,,,
Kepler-678,kepler-678,0.94,0.05,0.04,0.91,0.06,0.12,,,,,,0.07,0.15,0.157,5520.0,108.11,72.95,,,,,
Kepler-679,kepler-679,0.87,0.05,0.05,0.84,0.06,0.07,,,,,,-0.09,0.185,0.161,5403.0,105.75,97.13,,,,,
Kepler-68,kepler-68,1.079,0.051,0.051,1.243,0.019,0.019,6.3,1.7,1.7,1.7,1.7,0.12,0.074,0.074,5793.0,74.0,74.0,,,,,
Kepler-680,kepler-680,1.08,0.06,0.1,1.11,0.11,0.38,,,,,,0.13,0.146,0.152,5890.0,99.2,77.37,,,,,
Kepler-681,kepler-681,0.8,0.05,0.04,0.76,0.04,0.03,,,,,,-0.04,0.164,0.151,5021.0,62.09,63.8,,,,,
Kepler-682,kepler-682,0.92,0.05,0.04,0.89,0.06,0.09,,,,,,-0.05,0.172,0.143,5559.0,82.16,84.63,,,,,
Kepler-683,kepler-683,0.96,0.06,0.06,0.95,0.08,0.16,,,,,,-0.03,0.181,0.144,5703.0,149.37,140.91,,,,,
Kepler-684,kepler-684,0.89,0.06,0.06,0.86,0.07,0.08,,,,,,-0.11,0.194,0.161,5493.0,118.74,123.67,,,,,
Kepler-685,kepler-685,1.11,0.07,0.11,1.16,0.13,0.34,,,,,,0.15,0.154,0.145,5963.0,126.15,94.44,,,,,
Kepler-686,kepler-686,0.94,0.06,0.06,0.92,0.08,0.15,,,,,,-0.07,0.184,0.152,5649.0,112.79,155.14,,,,,
Kepler-687,kepler-687,0.77,0.04,0.04,0.73,0.04,0.03,,,,,,-0.04,0.16,0.144,4841.0,63.99,93.0,,,,,
Kepler-688,kepler-688,0.98,0.07,0.07,0.96,0.09,0.17,,,,,,0.02,0.167,0.133,5715.0,199.21,152.52,,,,,
Kepler-689,kepler-689,0.91,0.06,0.05,0.88,0.07,0.1,,,,,,-0.01,0.184,0.144,5518.0,162.69,122.7,,,,,
Kepler-69,kepler-69,0.81,0.081,0.09,0.93,0.12,0.18,,,,,,-0.29,0.15,0.15,5638.0,168.0,168.0,,13.7,,,
Kepler-690,kepler-690,1.11,0.06,0.1,1.16,0.14,0.36,,,,,,0.19,0.152,0.134,5913.0,115.89,87.61,,,,,
Kepler-691,kepler-691,0.53,0.02,0.02,0.5,0.02,0.02,,,,,,0.04,0.077,0.08,3715.0,36.77,37.37,,,,,
Kepler-692,kepler-692,0.9,0.05,0.05,0.86,0.06,0.1,,,,,,-0.01,0.172,0.14,5440.0,162.0,157.76,,,,,
Kepler-693,kepler-693,0.76,0.05,0.04,0.72,0.04,0.04,,,,,,-0.1,0.181,0.167,4881.0,77.41,78.78,,,,,
Kepler-694,kepler-694,0.97,0.06,0.05,0.95,0.07,0.14,,,,,,0.0,0.166,0.134,5700.0,116.69,110.52,,,,,
Kepler-695,kepler-695,0.84,0.05,0.05,0.8,0.05,0.06,,,,,,-0.01,0.162,0.149,5181.0,197.86,199.46,,,,,
Kepler-696,kepler-696,1.06,0.07,0.08,1.08,0.12,0.29,,,,,,0.07,0.167,0.148,5903.0,160.15,106.82,,,,,
Kepler-697,kepler-697,0.92,0.06,0.05,0.88,0.07,0.12,,,,,,-0.01,0.19,0.137,5513.0,134.25,113.01,,,,,
Kepler-698,kepler-698,0.94,0.06,0.05,0.91,0.07,0.11,,,,,,-0.03,0.181,0.142,5612.0,116.05,128.36,,,,,
Kepler-699,kepler-699,0.81,0.07,0.06,0.78,0.07,0.08,,,,,,-0.26,0.232,0.181,5330.0,71.24,112.77,,,,,
Kepler-7,kepler-7,1.36,0.03,0.03,2.02,0.02,0.02,3.5,1.0,1.0,1.0,1.0,0.11,0.03,0.03,5933.0,44.0,44.0,,,,,
KOI-55,koi-55,0.496,0.002,0.002,0.203,0.007,0.007,0.0184,0.001,0.001,0.001,0.001,,,,27730.0,270.0,270.0,,14.87,,,
Kepler-700,kepler-700,0.98,0.05,0.04,0.96,0.07,0.15,,,,,,0.04,0.153,0.135,5692.0,115.63,77.65,,,,,
Kepler-701,kepler-701,0.88,0.05,0.04,0.84,0.05,0.07,,,,,,0.0,0.172,0.149,5343.0,88.55,73.58,,,,,
Kepler-702,kepler-702,0.9,0.05,0.05,0.86,0.05,0.08,,,,,,0.0,0.161,0.143,5419.0,143.8,122.25,,,,,
Kepler-703,kepler-703,1.18,0.12,0.2,1.27,0.21,0.57,,,,,,0.05,0.147,0.139,6185.0,248.39,197.61,,,,,
Kepler-704,kepler-704,0.97,0.05,0.04,0.96,0.08,0.22,,,,,,0.09,0.135,0.142,5616.0,102.76,77.94,,,,,
Kepler-705,kepler-705,0.53,0.02,0.02,0.51,0.02,0.01,,,,,,0.07,0.069,0.073,3722.0,32.88,29.96,,,,,
Kepler-706,kepler-706,0.87,0.05,0.04,0.84,0.06,0.08,,,,,,-0.06,0.173,0.155,5394.0,107.67,78.15,,,,,
Kepler-707,kepler-707,0.8,0.05,0.04,0.76,0.06,0.04,,,,,,-0.12,0.201,0.159,5099.0,69.76,81.84,,,,,
Kepler-708,kepler-708,0.97,0.06,0.06,0.96,0.09,0.21,,,,,,0.01,0.175,0.128,5692.0,151.78,138.46,,,,,
Kepler-709,kepler-709,0.8,0.05,0.04,0.77,0.05,0.04,,,,,,-0.08,0.184,0.161,5071.0,83.42,83.59,,,,,
Kepler-71,kepler-71,0.923,0.079,0.079,0.816,0.389,0.389,,,,,,-0.2,,,5591.0,105.0,105.0,,15.386,,,
Kepler-710,kepler-710,0.94,0.06,0.06,0.91,0.07,0.12,,,,,,-0.04,0.192,0.144,5611.0,127.02,156.89,,,,,
Kepler-711,kepler-711,0.84,0.06,0.06,0.8,0.06,0.08,,,,,,-0.04,0.176,0.158,5222.0,219.6,236.98,,,,,
Kepler-712,kepler-712,0.84,0.04,0.03,0.78,0.02,0.02,,,,,,-0.03,0.105,0.106,5148.0,78.09,83.48,,,,,
Kepler-713,kepler-713,0.98,0.08,0.11,0.99,0.12,0.2,,,,,,-0.03,0.181,0.148,5785.0,233.97,265.49,,,,,
Kepler-714,kepler-714,1.09,0.07,0.08,1.12,0.12,0.29,,,,,,0.04,0.157,0.139,5995.0,117.06,106.7,,,,,
Kepler-715,kepler-715,1.04,0.06,0.06,1.04,0.1,0.23,,,,,,0.02,0.164,0.125,5871.0,97.1,99.55,,,,,
Kepler-716,kepler-716,0.83,0.04,0.04,0.78,0.04,0.04,,,,,,0.0,0.167,0.159,5099.0,72.75,52.72,,,,,
Kepler-717,kepler-717,0.88,0.05,0.05,0.85,0.06,0.09,,,,,,-0.12,0.174,0.155,5485.0,81.84,120.85,,,,,
Kepler-718,kepler-718,1.18,0.14,0.23,1.3,0.24,0.55,,,,,,0.06,0.135,0.135,6191.0,307.12,307.31,,,,,
Kepler-719,kepler-719,0.99,0.07,0.08,0.98,0.1,0.21,,,,,,-0.02,0.176,0.135,5777.0,220.79,199.43,,,,,
Kepler-720,kepler-720,0.95,0.07,0.11,0.92,0.09,0.18,,,,,,0.0,0.177,0.144,5618.0,250.53,328.49,,,,,
Kepler-721,kepler-721,0.82,0.04,0.04,0.78,0.04,0.04,,,,,,-0.01,0.155,0.156,5075.0,56.09,53.6,,,,,
Kepler-722,kepler-722,1.03,0.07,0.07,1.05,0.11,0.28,,,,,,0.02,0.171,0.139,5863.0,131.89,103.52,,,,,
Kepler-723,kepler-723,0.92,0.05,0.04,0.89,0.06,0.12,,,,,,0.0,0.178,0.136,5539.0,85.21,75.49,,,,,
Kepler-724,kepler-724,0.9,0.05,0.06,0.86,0.06,0.1,,,,,,-0.02,0.174,0.136,5437.0,122.72,176.17,,,,,
Kepler-725,kepler-725,0.88,0.04,0.04,0.84,0.05,0.07,,,,,,-0.01,0.166,0.143,5363.0,62.84,59.19,,,,,
Kepler-726,kepler-726,0.88,0.05,0.05,0.85,0.07,0.08,,,,,,-0.09,0.17,0.157,5452.0,94.31,122.89,,,,,
Kepler-727,kepler-727,0.89,0.06,0.05,0.86,0.06,0.1,,,,,,-0.01,0.188,0.146,5441.0,157.44,107.87,,,,,
Kepler-728,kepler-728,0.95,0.06,0.06,0.93,0.07,0.12,,,,,,-0.03,0.186,0.143,5660.0,108.4,133.1,,,,,
Kepler-729,kepler-729,0.94,0.06,0.04,0.91,0.06,0.11,,,,,,-0.05,0.195,0.137,5633.0,56.34,71.02,,,,,
Kepler-730,kepler-730,1.0,0.04,0.05,1.01,0.09,0.28,,,,,,0.07,0.143,0.14,5726.0,67.38,64.76,,,,,
Kepler-731,kepler-731,1.03,0.06,0.09,1.06,0.12,0.24,,,,,,0.04,0.154,0.132,5849.0,139.51,200.38,,,,,
Kepler-732,kepler-732,0.49,0.03,0.03,0.46,0.03,0.03,,,,,,-0.01,0.086,0.086,3631.0,37.03,35.05,,,,,
Kepler-733,kepler-733,0.9,0.05,0.04,0.86,0.05,0.08,,,,,,0.01,0.16,0.14,5418.0,94.34,89.83,,,,,
Kepler-734,kepler-734,0.85,0.04,0.03,0.78,0.03,0.03,,,,,,-0.17,0.11,0.11,5326.0,44.6,51.69,,,,,
Kepler-735,kepler-735,0.85,0.04,0.03,0.8,0.03,0.04,,,,,,0.07,0.153,0.144,5107.0,45.51,42.91,,,,,
Kepler-736,kepler-736,0.86,0.05,0.04,0.81,0.04,0.05,,,,,,0.03,0.184,0.174,5217.0,50.86,50.31,,,,,
Kepler-737,kepler-737,0.51,0.03,0.03,0.48,0.02,0.03,,,,,,-0.24,0.081,0.087,3813.0,38.49,40.13,,,,,
Kepler-738,kepler-738,0.86,0.05,0.04,0.82,0.05,0.06,,,,,,-0.09,0.172,0.146,5327.0,61.93,66.34,,,,,
Kepler-739,kepler-739,0.93,0.06,0.05,0.9,0.07,0.11,,,,,,-0.08,0.19,0.159,5601.0,87.84,89.95,,,,,
Kepler-74,kepler-74,1.4,0.11,0.14,1.51,0.14,0.14,2.9,0.8,1.5,0.8,1.5,0.34,0.14,0.14,6050.0,110.0,110.0,,14.23,,,
Kepler-740,kepler-740,0.91,0.04,0.04,0.87,0.05,0.1,,,,,,0.03,0.163,0.135,5438.0,80.55,62.55,,,,,
Kepler-741,kepler-741,1.16,0.08,0.13,1.24,0.15,0.42,,,,,,0.07,0.135,0.137,6129.0,111.81,80.64,,,,,
Kepler-742,kepler-742,0.76,0.04,0.03,0.71,0.03,0.02,,,,,,0.07,0.183,0.157,4642.0,44.03,41.76,,,,,
Kepler-743,kepler-743,0.94,0.03,0.03,0.85,0.02,0.02,,,,,,0.01,0.095,0.093,5486.0,78.82,77.47,,,,,
Kepler-744,kepler-744,0.94,0.04,0.04,0.93,0.05,0.06,,,,,,0.0,0.106,0.103,5594.0,77.39,84.04,,,,,
Kepler-745,kepler-745,1.04,0.07,0.07,1.04,0.1,0.28,,,,,,0.06,0.158,0.132,5849.0,158.12,106.52,,,,,
Kepler-746,kepler-746,0.91,0.03,0.04,0.93,0.07,0.1,,,,,,0.09,0.093,0.096,5418.0,89.83,87.09,,,,,
Kepler-747,kepler-747,0.82,0.05,0.04,0.78,0.04,0.04,,,,,,-0.03,0.168,0.166,5096.0,92.77,70.39,,,,,
Kepler-748,kepler-748,1.07,0.07,0.09,1.1,0.12,0.28,,,,,,0.08,0.165,0.142,5934.0,141.93,95.16,,,,,
Kepler-749,kepler-749,0.79,0.05,0.06,0.75,0.06,0.06,,,,,,-0.11,0.19,0.167,5009.0,165.4,218.03,,,,,
Kepler-75,kepler-75,0.88,0.06,0.06,0.88,0.04,0.04,6.0,3.0,3.0,3.0,3.0,-0.07,0.15,0.15,5330.0,120.0,120.0,,15.0,,,
Kepler-750,kepler-750,1.15,0.08,0.14,1.23,0.16,0.42,,,,,,0.03,0.161,0.13,6160.0,121.55,90.96,,,,,
Kepler-751,kepler-751,0.87,0.06,0.05,0.84,0.06,0.08,,,,,,-0.06,0.183,0.156,5387.0,138.29,131.81,,,,,
Kepler-752,kepler-752,0.87,0.06,0.05,0.83,0.06,0.07,,,,,,-0.08,0.174,0.164,5373.0,107.25,161.73,,,,,
Kepler-753,kepler-753,0.68,0.03,0.03,0.65,0.02,0.02,,,,,,-0.03,0.093,0.12,4346.0,39.68,51.36,,,,,
Kepler-754,kepler-754,1.06,0.08,0.08,1.08,0.12,0.26,,,,,,0.05,0.161,0.13,5935.0,181.97,126.07,,,,,
Kepler-755,kepler-755,0.82,0.04,0.03,0.77,0.02,0.02,,,,,,-0.01,0.108,0.1,5043.0,83.54,89.62,,,,,
Kepler-756,kepler-756,0.82,0.06,0.06,0.79,0.07,0.06,,,,,,-0.19,0.211,0.18,5282.0,62.48,97.87,,,,,
Kepler-757,kepler-757,1.08,0.11,0.14,1.13,0.18,0.38,,,,,,0.02,0.164,0.129,6014.0,288.93,221.13,,,,,
Kepler-758,kepler-758,1.16,0.08,0.12,1.42,0.23,0.31,,,,,,-0.1,0.132,0.12,6228.0,60.59,72.21,,,,,
Kepler-759,kepler-759,1.04,0.06,0.06,1.04,0.09,0.22,,,,,,0.06,0.161,0.144,5860.0,133.91,94.6,,,,,
Kepler-76,kepler-76,1.2,0.2,0.2,1.12,,,,,,,,-0.1,0.2,0.2,6300.0,200.0,200.0,,14.0,,,
Kepler-760,kepler-760,0.89,0.04,0.04,0.85,0.04,0.07,,,,,,0.08,0.166,0.147,5322.0,81.73,65.68,,,,,
Kepler-761,kepler-761,0.95,0.06,0.06,0.93,0.07,0.11,,,,,,-0.09,0.191,0.146,5706.0,104.39,130.9,,,,,
Kepler-762,kepler-762,1.06,0.06,0.07,1.08,0.11,0.23,,,,,,0.02,0.162,0.139,5944.0,123.9,98.94,,,,,
Kepler-763,kepler-763,0.84,0.04,0.04,0.8,0.04,0.05,,,,,,0.01,0.155,0.133,5166.0,93.71,75.73,,,,,
Kepler-764,kepler-764,0.92,0.05,0.05,0.89,0.07,0.1,,,,,,-0.06,0.181,0.145,5557.0,102.61,132.83,,,,,
Kepler-765,kepler-765,1.05,0.06,0.06,1.06,0.1,0.23,,,,,,0.04,0.154,0.145,5901.0,89.97,81.23,,,,,
Kepler-766,kepler-766,1.1,0.07,0.09,1.15,0.13,0.31,,,,,,0.09,0.147,0.148,5992.0,140.96,95.54,,,,,
Kepler-767,kepler-767,0.96,0.06,0.06,0.94,0.08,0.12,,,,,,-0.05,0.198,0.143,5694.0,124.14,163.45,,,,,
Kepler-768,kepler-768,0.82,0.05,0.05,0.78,0.05,0.05,,,,,,-0.03,0.168,0.153,5108.0,165.03,177.47,,,,,
Kepler-769,kepler-769,1.19,0.11,0.17,1.28,0.19,0.55,,,,,,0.06,0.14,0.131,6186.0,184.13,127.24,,,,,
Kepler-77,kepler-77,0.95,0.04,0.04,0.99,0.02,0.02,7.5,2.0,2.0,2.0,2.0,0.2,0.05,0.05,5520.0,60.0,60.0,,15.0,,,
Kepler-770,kepler-770,0.94,0.06,0.05,0.92,0.07,0.12,,,,,,-0.01,0.179,0.135,5598.0,124.54,127.6,,,,,
Kepler-771,kepler-771,1.03,0.07,0.08,1.05,0.11,0.18,,,,,,0.01,0.169,0.135,5906.0,193.81,145.88,,,,,
Kepler-772,kepler-772,0.98,0.04,0.04,1.11,0.15,0.22,,,,,,0.03,0.096,0.081,5714.0,85.03,67.61,,,,,
Kepler-773,kepler-773,1.04,0.03,0.04,1.01,0.04,0.05,,,,,,0.05,0.086,0.088,5850.0,65.3,76.73,,,,,
Kepler-774,kepler-774,1.57,0.14,0.11,2.42,0.41,0.34,,,,,,0.04,0.043,0.076,6403.0,76.7,86.23,,,,,
Kepler-775,kepler-775,0.92,0.03,0.03,0.84,0.02,0.02,,,,,,-0.04,0.1,0.103,5468.0,70.49,67.97,,,,,
Kepler-776,kepler-776,0.83,0.04,0.04,0.78,0.04,0.04,,,,,,0.05,0.164,0.157,5071.0,86.62,57.15,,,,,
Kepler-777,kepler-777,0.58,0.03,0.02,0.56,0.02,0.02,,,,,,-0.17,0.111,0.091,4043.0,34.4,36.21,,,,,
Kepler-778,kepler-778,0.81,0.05,0.04,0.77,0.05,0.04,,,,,,-0.09,0.186,0.147,5102.0,62.12,71.96,,,,,
Kepler-779,kepler-779,0.46,0.03,0.03,0.44,0.03,0.03,,,,,,-0.43,0.086,0.082,3804.0,34.03,35.65,,,,,
Kepler-78,kepler-78,0.81,0.05,0.05,0.74,0.08,0.1,,,,,,-0.14,0.08,0.08,5089.0,50.0,50.0,,12.0,,,
Kepler-780,kepler-780,1.01,0.03,0.03,1.02,0.06,0.1,,,,,,0.05,0.092,0.089,5769.0,57.06,62.55,,,,,
Kepler-781,kepler-781,0.81,0.05,0.04,0.78,0.06,0.04,,,,,,-0.1,0.199,0.151,5162.0,64.49,64.88,,,,,
Kepler-782,kepler-782,0.98,0.05,0.05,1.01,0.09,0.13,,,,,,-0.14,0.125,0.127,5867.0,61.94,70.1,,,,,
Kepler-783,kepler-783,0.93,0.04,0.03,0.89,0.03,0.04,,,,,,0.01,0.103,0.102,5521.0,52.89,66.78,,,,,
Kepler-784,kepler-784,1.0,0.05,0.07,1.32,0.26,0.28,,,,,,0.07,0.062,0.088,5674.0,83.91,74.62,,,,,
Kepler-785,kepler-785,0.77,0.04,0.03,0.71,0.03,0.02,,,,,,-0.02,0.133,0.131,4739.0,69.98,115.49,,,,,
Kepler-786,kepler-786,0.81,0.03,0.02,0.74,0.01,0.01,,,,,,0.09,0.103,0.106,4838.0,45.6,59.77,,,,,
Kepler-787,kepler-787,0.65,0.02,0.03,0.62,0.02,0.02,,,,,,-0.09,0.081,0.105,4248.0,33.57,40.9,,,,,
Kepler-788,kepler-788,1.16,0.1,0.13,1.23,0.17,0.39,,,,,,0.05,0.155,0.126,6159.0,186.01,129.54,,,,,
Kepler-789,kepler-789,1.01,0.07,0.09,1.02,0.11,0.2,,,,,,-0.06,0.199,0.138,5870.0,120.74,204.63,,,,,
Kepler-79,kepler-79,1.165,0.045,0.044,1.302,0.027,0.026,3.44,0.91,0.6,0.91,0.6,,,,6174.0,117.0,83.0,,14.11,,,
Kepler-790,kepler-790,0.84,0.05,0.04,0.8,0.05,0.05,,,,,,-0.05,0.165,0.141,5208.0,114.14,139.26,,,,,
Kepler-791,kepler-791,1.3,0.12,0.21,1.47,0.25,0.61,,,,,,0.06,0.142,0.135,6383.0,160.88,218.04,,,,,
Kepler-792,kepler-792,1.09,0.07,0.09,1.12,0.13,0.28,,,,,,0.08,0.146,0.144,5971.0,175.96,136.24,,,,,
Kepler-793,kepler-793,0.98,0.07,0.07,0.97,0.1,0.2,,,,,,0.0,0.186,0.134,5745.0,198.84,145.41,,,,,
Kepler-794,kepler-794,1.19,0.07,0.11,1.38,0.22,0.34,,,,,,0.34,0.053,0.055,5839.0,64.99,74.39,,,,,
Kepler-795,kepler-795,0.94,0.04,0.04,0.96,0.07,0.1,,,,,,-0.02,0.107,0.097,5631.0,75.42,83.2,,,,,
Kepler-796,kepler-796,0.93,0.04,0.04,1.09,0.18,0.3,,,,,,0.09,0.075,0.089,5475.0,84.69,79.05,,,,,
Kepler-797,kepler-797,0.96,0.07,0.1,0.95,0.09,0.18,,,,,,-0.02,0.172,0.14,5680.0,205.19,292.15,,,,,
Kepler-798,kepler-798,1.19,0.09,0.18,1.29,0.18,0.56,,,,,,0.03,0.155,0.128,6224.0,142.87,124.3,,,,,
Kepler-799,kepler-799,0.95,0.06,0.05,0.93,0.07,0.12,,,,,,-0.07,0.19,0.158,5681.0,90.98,116.48,,,,,
Kepler-8,kepler-8,1.213,0.063,0.063,1.486,0.062,0.062,3.84,1.5,1.5,1.5,1.5,-0.055,0.03,0.03,6213.0,150.0,150.0,,13.9,,,
Kepler-80,kepler-80,,,,0.738,,,,,,,,-0.56,,,4250.0,,,,15.0,,,
Kepler-800,kepler-800,0.85,0.05,0.04,0.82,0.06,0.06,,,,,,-0.09,0.18,0.158,5315.0,67.05,60.48,,,,,
Kepler-801,kepler-801,0.67,0.03,0.03,0.63,0.02,0.03,,,,,,-0.17,0.094,0.093,4435.0,38.89,45.95,,,,,
Kepler-802,kepler-802,0.93,0.05,0.04,0.9,0.05,0.12,,,,,,0.06,0.176,0.157,5507.0,67.23,61.6,,,,,
Kepler-803,kepler-803,1.05,0.05,0.05,1.12,0.11,0.16,,,,,,0.02,0.092,0.085,5919.0,100.93,99.49,,,,,
Kepler-804,kepler-804,1.01,0.04,0.04,1.05,0.09,0.13,,,,,,0.0,0.104,0.09,5817.0,78.6,93.12,,,,,
Kepler-805,kepler-805,1.19,0.04,0.07,1.65,0.05,0.06,,,,,,-0.06,0.067,0.082,6112.0,66.37,55.03,,,,,
Kepler-806,kepler-806,0.99,0.06,0.07,1.16,0.18,0.34,,,,,,0.0,0.149,0.07,5770.0,67.82,59.8,,,,,
Kepler-807,kepler-807,1.04,0.07,0.07,1.06,0.11,0.2,,,,,,-0.04,0.187,0.149,5965.0,92.14,92.34,,,,,
Kepler-808,kepler-808,0.76,0.05,0.03,0.71,0.04,0.02,,,,,,0.05,0.207,0.154,4653.0,57.3,51.38,,,,,
Kepler-809,kepler-809,0.99,0.05,0.04,0.98,0.08,0.18,,,,,,0.04,0.152,0.135,5734.0,78.23,78.27,,,,,
Kepler-81,kepler-81,0.648,0.028,0.028,0.578,0.012,0.012,,,,,,-0.2,,,4391.0,65.0,65.0,,15.563,,,
Kepler-810,kepler-810,1.03,0.06,0.06,1.04,0.09,0.21,,,,,,0.1,0.15,0.152,5803.0,112.28,75.93,,,,,
Kepler-811,kepler-811,1.01,0.04,0.05,1.24,0.21,0.26,,,,,,0.05,0.059,0.08,5747.0,57.04,64.53,,,,,
Kepler-812,kepler-812,1.45,0.14,0.21,1.71,0.26,0.64,,,,,,0.02,0.169,0.128,6761.0,102.89,124.82,,,,,
Kepler-813,kepler-813,0.95,0.07,0.05,0.93,0.08,0.12,,,,,,-0.13,0.193,0.164,5743.0,59.41,69.68,,,,,
Kepler-814,kepler-814,1.15,0.07,0.12,1.22,0.14,0.36,,,,,,0.01,0.159,0.129,6162.0,87.42,90.5,,,,,
Kepler-815,kepler-815,1.25,0.19,0.05,3.42,0.26,0.09,,,,,,-0.03,0.026,0.039,5028.0,43.63,52.57,,,,,
Kepler-816,kepler-816,0.9,0.04,0.04,0.85,0.04,0.06,,,,,,0.16,0.185,0.16,5286.0,88.41,54.61,,,,,
Kepler-817,kepler-817,1.03,0.08,0.12,1.03,0.12,0.23,,,,,,0.02,0.161,0.139,5861.0,241.24,259.88,,,,,
Kepler-818,kepler-818,0.94,0.06,0.07,0.92,0.08,0.14,,,,,,-0.08,0.181,0.149,5638.0,110.99,214.12,,,,,
Kepler-819,kepler-819,0.86,0.05,0.05,0.81,0.05,0.06,,,,,,-0.06,0.161,0.149,5279.0,111.92,165.3,,,,,
