pl_hostname,pl_hostname,st_mass,st_masserr2,st_masserr1,st_rad,st_raderr2,st_raderr1,st_age,st_ageerr2,st_ageerr1,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,st_metfe,st_metfeerr2,st_metfeerr1,st_teff,st_tefferr2,st_tefferr1,Spectral type,st_optmag,st_optmagerr,st_optmagerr,source (xml)
Kepler-82,Kepler-82,0.85,0.63,1.66,0.94,0.14,0.14,,,,,,-0.014,,,5428.00,100.00,100.00,,15.158,,,
Kepler-83,Kepler-83,0.66,0.25,0.41,0.59,0.03,0.03,,,,,,-0.195,,,4648.00,116.00,116.00,,15.777,,,
Kepler-84,Kepler-84,1.00,0.29,0.42,1.17,0.22,0.22,,,,,,-0.131,,,6031.00,143.00,143.00,,14.764,,,
Kepler-85,Kepler-85,0.92,0.27,0.40,0.89,0.13,0.13,,,,,,-0.031,,,5436.00,100.00,100.00,,14.779,,,
PH2,PH2,0.94,0.02,0.02,1.00,0.05,0.05,,,,,,-0.078,0.028,0.032,5629.00,45.00,42.00,,12.620,,,
Kepler-87,Kepler-87,1.10,0.05,0.05,1.82,0.04,0.04,7.500,0.500,0.500,,,-0.170,0.030,0.030,5600.00,50.00,50.00,,14.600,,,
KOI-142,KOI-142,0.96,0.05,0.04,0.88,0.04,0.03,2.200,2.000,2.400,,,0.200,0.080,0.080,5471.00,50.00,50.00,,13.110,0.160,0.160,
KOI-94,KOI-94,1.28,0.05,0.05,1.52,0.14,0.14,3.160,0.390,0.390,,,0.023,0.002,0.002,6182.00,58.00,58.00,,12.205,,,
KOI-351,KOI-351,1.20,0.10,0.10,1.20,0.10,0.10,,,,,,-0.120,0.180,0.180,6080.00,170.00,260.00,,13.804,,,
Kepler-91,Kepler-91,1.31,0.10,0.10,6.30,0.16,0.16,,,,,,0.110,0.070,0.070,4550.00,75.00,75.00,,12.495,,,
Kepler-92,Kepler-92,1.21,0.08,0.08,1.70,0.05,0.05,,,,,,,,,5883.00,,,,11.565,,,
Kepler-93,Kepler-93,0.91,0.03,0.03,0.92,0.01,0.01,6.600,0.900,0.900,,,-0.180,0.100,0.100,5669.00,75.00,75.00,,9.931,,,
Kepler-94,Kepler-94,0.81,0.06,0.06,0.76,0.03,0.03,1.410,,,,,0.340,0.070,0.070,4781.00,98.00,98.00,,12.895,,,
Kepler-95,Kepler-95,1.08,0.08,0.08,1.41,0.04,0.04,5.630,,,,,0.300,0.100,0.100,5699.00,74.00,74.00,,12.346,,,
Kepler-96,Kepler-96,1.00,0.06,0.06,1.02,0.09,0.09,2.340,,,,,0.040,0.070,0.070,5690.00,73.00,73.00,,10.297,,,
Kepler-97,Kepler-97,0.94,0.06,0.06,0.98,0.09,0.09,8.420,,,,,-0.200,0.070,0.070,5779.00,74.00,74.00,,12.872,,,
Kepler-99,Kepler-99,0.79,0.06,0.06,0.73,0.04,0.04,1.470,,,,,0.180,0.070,0.070,4782.00,129.00,129.00,,12.970,,,
Kepler-100,Kepler-100,1.08,0.06,0.06,1.49,0.04,0.04,6.460,,,,,0.020,0.100,0.100,5825.00,75.00,75.00,,11.197,,,
Kepler-101,Kepler-101,1.17,0.05,0.07,1.56,0.20,0.20,5.900,1.200,1.200,,,0.330,0.070,0.070,5667.00,50.00,50.00,,13.800,,,
Kepler-102,Kepler-102,0.81,0.09,0.04,0.76,0.07,0.07,1.410,,,,,0.180,0.470,0.420,4909.00,41.00,41.00,,11.492,,,
Kepler-103,Kepler-103,1.09,0.07,0.07,1.44,0.04,0.04,5.700,,,,,0.070,0.110,0.110,5845.00,88.00,88.00,,12.287,,,
Kepler-104,Kepler-104,0.81,,,1.35,0.22,0.22,,,,,,-0.777,,,5711.00,74.00,74.00,,12.596,,,
Kepler-105,Kepler-105,0.96,0.05,0.05,0.89,0.04,0.04,,,,,,-0.190,0.100,0.100,5827.00,94.00,94.00,,12.791,,,
Kepler-106,Kepler-106,1.00,0.06,0.06,1.04,0.17,0.17,4.830,,,,,-0.120,0.110,0.110,5858.00,114.00,114.00,,12.882,,,
Kepler-107,Kepler-107,,,,1.41,0.05,0.05,,,,,,-0.092,,,5851.00,75.00,75.00,,12.487,,,
Kepler-108,Kepler-108,0.87,,,2.19,0.12,0.12,,,,,,-0.026,,,5854.00,92.00,92.00,,12.654,,,
Kepler-109,Kepler-109,1.04,0.06,0.06,1.32,0.04,0.04,5.730,,,,,-0.080,0.100,0.100,5952.00,75.00,75.00,,12.365,,,
Kepler-110,Kepler-110,,,,1.15,0.23,0.23,,,,,,-0.151,,,5960.00,153.00,153.00,,12.935,,,
Kepler-111,Kepler-111,,,,1.16,0.14,0.14,,,,,,0.005,,,5952.00,74.00,74.00,,13.492,,,
Kepler-75,Kepler-75,0.91,0.04,0.04,0.89,0.02,0.02,6.200,2.800,3.500,,,0.300,0.120,0.120,5200.00,100.00,100.00,,15.264,,,
Kepler-76,Kepler-76,1.20,0.20,0.20,1.32,0.08,0.08,,,,,,-0.100,0.200,0.200,6409.00,95.00,95.00,,13.308,,,
Kepler-78,Kepler-78,0.76,0.05,0.05,0.74,0.04,0.03,0.750,0.150,0.150,,,-0.180,0.080,0.080,5058.00,50.00,50.00,,11.551,,,
Kepler-79,Kepler-79,1.17,0.04,0.04,1.30,0.03,0.03,3.440,0.910,0.600,,,-0.073,0.009,0.062,6174.00,117.00,83.00,,13.914,,,
Kepler-80,Kepler-80,0.73,0.03,0.03,0.68,0.02,0.02,2.000,1.000,1.000,,,0.040,0.080,0.080,4540.00,100.00,100.00,,14.804,,,
Kepler-112,Kepler-112,,,,0.84,0.20,0.20,,,,,,-0.588,,,5544.00,148.00,148.00,,13.771,,,
Kepler-113,Kepler-113,0.75,0.06,0.06,0.69,0.02,0.02,6.890,,,,,0.050,0.070,0.070,4725.00,74.00,74.00,,13.461,,,
Kepler-114,Kepler-114,0.56,0.06,0.06,0.67,0.04,0.04,,,,,,-0.003,,,4605.00,100.00,100.00,,13.738,,,
4 UMa,4 UMa,1.23,0.15,0.15,18.11,1.47,1.47,4.604,2.000,2.000,,,-0.250,0.040,0.040,4415.00,70.00,70.00,,4.610,,,
