Primary star name(from standardize_OEC_star.csv),star_name(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),star_mass(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),star_mass_error_min(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),star_mass_error_max(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),star_radius(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),star_radius_error_min(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),star_radius_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),star_age(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),star_metallicity(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),star_metallicity_error_min(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),star_metallicity_error_max(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),star_teff(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),star_teff_error_min(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),star_teff_error_max(from standardize_EU_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),mag_v(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),Visual magnitude errorminus(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),Visual magnitude errorplus(from standardize_EU_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_EU_Catalogue_Star_Data.csv)
DH Tau,DH Tau,0.4,0.37,,0.12,,0.12,,,,,,,,0.001,,0.0009,,0.0009,,0.0009,,0.0009,,,,,,,3840.0,,,,,,m0.5v,,,,,,,,DH Tau.xml,
DP Leo,DP Leo,0.6,0.69,,,,,0.0144,,,,,,,,,,,,,,,,,,,,,,13500,,,,,,amher,,,,,,,,DP Leo.xml,
EPIC 201295312,EPIC 201295312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,EPIC 201295312.xml,
EPIC 201445392,K2-8,0.78,0.79,,,0.04,0.03,,,0.04,0.02,0.04,0.03,,,,,,,,,,,-0.02,-0.01,0.04,0.13,0.04,0.11,4870,4890.0,60,58.0,60,38.0,,,14.61,14.384,0.03,,0.03,,EPIC 201445392.xml,
EPIC 201637175 A,EPIC 201637175 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m0v,,,17.0,,,,,EPIC 201637175.xml,
EPIC 201713348,EPIC 201713348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.03,,EPIC 201713348.xml,
EPIC 203826436,EPIC 203826436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.568,12.52,0.030,,0.030,,EPIC 203826436.xml,
EPIC 204221263,EPIC 204221263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.03,,EPIC 204221263.xml,
EPIC 205071984,EPIC 205071984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.307,12.31,0.030,,0.030,,EPIC 205071984.xml,
FU Tau A,FU Tau,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,m7.25,,,,,,,,FU Tau.xml,
FW Tau A,FW Tau,0.12,0.26,0.04,0.18,0.04,0.18,,,,,,,,,0.0005,0.001,0.0010,0.0005,,0.001,,0.0005,,,,,,,,,,,,,m4,,16.64,15.5,0.11,,0.11,,FW Tau.xml,
Fomalhaut A,Fomalhaut,,,,,,,1.84,1.842,,0.019,,0.019,,0.44,,0.04,,0.04,,0.04,,0.04,,,,,,,,,,,,,a3v,,,,,,,,Fomalhaut.xml,
Gliese 1214,GJ 1214,0.176,0.15,0.009,0.011,0.009,0.011,0.2213,0.216,0.0043,0.012,0.0043,0.012,,6.0,,3.0,,3.0,,3.0,,3.0,0.1,0.39,0.1,0.15,0.1,0.15,3250,3026.0,100,150.0,100,150.0,m4.5,,,,,,,,Gliese 1214.xml,
Gliese 15 A,GJ 15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m2v,,8.13,8.08,0.01,,0.01,,Gliese 15.xml,
GJ 160.2,GJ 160.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m0v,,,,,,,,GJ 160.2.xml,
Gliese 163,GJ 163,,,0.04,,0.04,,,,,,,,5.5,3.0,4.5,2.0,4.5,7.0,,2.0,,7.0,,,,,,,,,,,,,m3.5v,,11.811,11.8,0.012,,0.012,,Gliese 163.xml,
Gliese 176,GJ 176,,,,0.014,,0.014,,,,,,,,,,,,,,,,,,,,,,,3520,,,,,,m2.5v,,,,,,,,Gliese 176.xml,
Gliese 179,GJ 179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m3.5v,,12.018,11.96,,,,,Gliese 179.xml,
GJ 180,GJ 180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m2v,,,,,,,,GJ 180.xml,
GJ 229 A,GJ 229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m1/m2v,,,,,,,,GJ 229.xml,
GJ 27.1,GJ 27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m0.5v,,,,,,,,GJ 27.1.xml,
Gliese 328,GJ 328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m1,,,,0.04,,0.04,,Gliese 328.xml,
Gliese 3293,GJ 3293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m2.5,,11.962,11.96,,,,,Gliese 3293.xml,
Gliese 3341,GJ 3341,,,,,,,0.439,0.349,,,,,,,,,,,,,,,,,,,,,3546,3526.0,,,,,m2.5,,,,,,,,Gliese 3341.xml,
Gliese 3470,GJ 3470,0.51,0.539,0.06,0.047,0.06,0.047,0.48,0.55,0.04,0.012,0.04,0.012,,1.0,,0.7,,0.7,1,0.7,4,0.7,0.17,0.2,0.06,0.1,0.06,0.1,3652,3600.0,50,100.0,50,100.0,m1.5,,12.3,12.27,,,,,Gliese 3470.xml,
GJ 422,GJ 422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m3.5v,,,,,,,,GJ 422.xml,
11 Com, H,2.7,,0.3,-0.32,0.3,0.12,19,0.12,2,0.452,2,0.012,,0.464,,0.011,,0.011,,0.011,,0.011,-0.35,,0.09,10.2,0.09,,4742,m2.5,100,6.0,100,5.0,g8iii,,4.74,"""h2o""""""",,,,,11 Com.xml,
Gliese 504,GJ 504,,,,,,,,,,,,,,,0.06,0.35,0.35,0.06,,0.35,,0.06,,,,,,,,,,,,,g0v,,,,,,,,Gliese 504.xml,
GJ 682,GJ 682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m3.5v,,10.946,,,,,,GJ 682.xml,
Gliese 687,GJ 687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m3v,,,,,,,,Gliese 687.xml,
Gliese 849,GJ 849,,,0.049,,0.049,,,,,0.07,,0.07,,,,,,,,,,,0.31,0.22,0.12,,0.12,,3601,,19,,19,,m3.5v,,10.366,10.37,,,,,Gliese 849.xml,
Gliese 86 A,GJ 86,,,,,,,,,,0.005,,0.005,2.5,2.03,,,,,,,,,,,,,,,5188,5350.0,50,,50,,k1v,,,,,,,,Gliese 86.xml,
GQ Lup,GQ Lup,,,,,,,,,,,,,,0.001,,0.001,,0.001,,0.001,,0.001,,,,,,,5150.0,,,,,,k7ev,,,,,,,,GQ Lup.xml,
GU Psc,GU Psc,0.325,0.35,0.25,,0.25,,,,,,,,,,,,,,,0.03,,0.03,0.1,,0.13,,0.13,,,,,,,,m3,,,,,,,,GU Psc.xml,
HAT-P-11, O I,0.81,0.13,,0.008,,0.008,0.75,1.151,,0.052,,0.052,,0.03,,0.03,,gov,,0.03,,gov,0.31,139.0,,20.0,,20.0,4780.0,3.6,,,,,k4,,9.47,hat-p-1,0.02,,0.02,,HAT-P-11.xml,
HAT-P-11,HAT-P-11,,,,0.03,,0.03,,,,0.02,,0.02,,6.5,,4.1,,4.1,,4.1,,4.1,,,,0.05,,0.05,,,,50.0,,50.0,k4,,9.47,9.59,0.02,,0.02,,HAT-P-11.xml,
HAT-P-12,HAT-P-12,,,,0.02,,0.02,,,,0.01,,0.01,,2.5,,2.0,,2.0,,2.0,,2.0,,,,0.05,,0.05,,,,60.0,,60.0,k5,,,,,,,,HAT-P-12.xml,
HAT-P-13,HAT-P-13,,,,0.1,,0.1,,,,0.08,,0.08,,5.0,,0.8,,0.8,,0.8,,0.8,0.41,0.43,,,,,,,,90.0,,90.0,g4,,10.42,10.62,0.06,,0.06,,HAT-P-13.xml,
HAT-P-14 A,HAT-P-14,,,,0.045,,0.045,,,,0.054,,0.054,,1.3,,0.4,,0.4,,0.4,,0.4,,,,0.08,,0.08,,,,90.0,,90.0,f,,9.99,9.98,0.03,,0.03,,HAT-P-14.xml,
HAT-P-15,HAT-P-15,,,,0.043,,0.043,,,,0.043,,0.043,,6.8,,1.6,,1.6,,1.6,,1.6,,,,0.08,,0.08,,,,90.0,,90.0,g5,,12.41,12.16,0.024,,0.024,,HAT-P-15.xml,
HAT-P-16 A,HAT-P-16,1.216,1.218,0.055,0.039,0.055,0.039,1.158,1.237,0.025,0.054,0.025,0.054,,2.0,,0.8,,0.8,,0.8,,0.8,0.12,0.17,,,,,6140,6158.0,72,80.0,72,80.0,f8,,10.91,10.8,0.06,,0.06,,HAT-P-16.xml,
HAT-P-17,HAT-P-17,,,,0.039,,0.039,,,,,,,,7.8,,,,,,,,,,0.0,,,,,,,,,,,k,,10.38,10.54,0.03,,0.03,,HAT-P-17.xml,
HAT-P-18,HAT-P-18,,,0.027,0.031,0.027,0.031,,,,,,,,12.4,,6.4,,6.4,,6.4,,6.4,,,,,,,,,,,,,k,,,,,,,,HAT-P-18.xml,
HAT-P-19,HAT-P-19,,,,,,,,,,,,,5.5,8.8,1.3,5.2,1.8,5.2,,5.2,,5.2,,,,,,,,,,,,,k,,12.901,12.9,,,,,HAT-P-19.xml,
HAT-P-2,HAT-P-2,1.36,1.34,,0.09,,0.09,1.64,1.54,,0.12,,0.12,,2.7,,0.5,,0.5,,0.5,,0.5,0.14,0.04,,0.05,,0.05,6290.0,6414.0,,51.0,,51.0,f8,,8.69,8.71,0.01,,0.01,,HAT-P-2.xml,
HAT-P-20,HAT-P-20,,,,0.028,,0.028,,,,0.21,,0.21,,6.7,,3.8,,3.8,,3.8,,3.8,,,,0.08,,0.08,,,,80.0,,80.0,k7,,,,,,,,HAT-P-20.xml,
HAT-P-21,HAT-P-21,,,,0.042,,0.042,,,,0.083,,0.083,,10.2,,2.5,,2.5,,2.5,,2.5,,,,0.08,,0.08,,,,80.0,,80.0,g3,,,,0.11,,0.11,,HAT-P-21.xml,
HAT-P-22,HAT-P-22,,,,0.035,,0.035,,,,0.044,,0.044,,12.4,,2.6,,2.6,,2.6,,2.6,,,,0.08,,0.08,,,,80.0,,80.0,g5,,9.76,9.73,0.02,,0.02,,HAT-P-22.xml,
HAT-P-23,HAT-P-23,,,,0.05,,0.05,1.203,1.29,,0.05,,0.05,,4.0,,1.0,,1.0,,1.0,,1.0,0.15,0.16,,0.03,,0.03,5905.0,5924.0,,30.0,,30.0,g5,,,,0.020,,0.020,,HAT-P-23.xml,
HAT-P-24 A,HAT-P-24,,,,,,,,,,0.068,,0.068,,2.8,,0.6,,0.6,,0.6,,0.6,,,,0.08,,0.08,6329,6373.0,67,80.0,67,80.0,f8,,11.76,11.82,0.016,,0.016,,HAT-P-24.xml,
HAT-P-25,HAT-P-25,,,,0.032,,0.032,,,,0.037,,0.037,,3.2,,2.3,,2.3,,2.3,,2.3,,,,0.08,,0.08,,,,80.0,,80.0,g5,,13.15,13.19,0.25,,0.25,,HAT-P-25.xml,
HAT-P-26,HAT-P-26,,,,0.033,,0.033,,,,0.043,,0.043,,9.0,,4.9,,4.9,,4.9,,4.9,,,,0.08,,0.08,,,,88.0,,88.0,k1,,11.76,11.74,0.18,,0.18,,HAT-P-26.xml,
HAT-P-28,HAT-P-28,,,,0.047,,0.047,,,,0.069,,0.069,,6.1,,1.9,,1.9,,1.9,,1.9,,,,0.08,,0.08,,,,90.0,,90.0,g3,,,,,,,,HAT-P-28.xml,
HAT-P-29,HAT-P-29,,,,0.046,,0.046,,,,0.075,,0.075,,2.2,,1.0,,1.0,,1.0,,1.0,,,,0.08,,0.08,,,,88.0,,88.0,f8,,11.83,11.9,0.16,,0.16,,HAT-P-29.xml,
HAT-P-3,HAT-P-3,,,,0.03,,0.03,,,,0.039,,0.039,,1.6,,1.3,,1.3,,1.3,,1.3,0.27,0.41,,0.08,,0.08,,,,69.0,,69.0,k,,,,0.15,,0.15,,HAT-P-3.xml,
HAT-P-31,HAT-P-31,,,,0.063,,0.063,,,,0.18,,0.18,,3.17,,1.11,,1.11,,1.11,,1.11,,,,0.08,,0.08,,,,100.0,,100.0,f,,11.67,11.66,0.11,,0.11,,HAT-P-31.xml,
HAT-P-32 A,HAT-P-32,,,,0.07,,0.07,,,,0.067,,0.067,,3.8,,0.5,,0.5,,0.5,,0.5,,,,0.08,,0.08,6207,6001.0,,,,,f/g,,11.44,11.29,0.12,,0.12,,HAT-P-32.xml,
HAT-P-33 A,HAT-P-33,,,,0.096,,0.096,,,,0.28,,0.28,,2.4,,0.4,,0.4,,0.4,,0.4,,,,0.08,,0.08,6446,6401.0,,,,,f,,11.03,11.89,0.11,,0.11,,HAT-P-33.xml,
HAT-P-34,HAT-P-34,1.392,1.36,,0.01,,0.01,1.535,1.45,,0.11,,0.11,,1.7,,0.5,,0.5,,0.5,,0.5,0.22,0.08,,0.05,,0.05,6442.0,6509.0,,51.0,,51.0,f8,,10.40,10.16,0.05,,0.05,,HAT-P-34.xml,
HAT-P-35,HAT-P-35,,,,0.048,,0.048,,,,0.084,,0.084,,3.5,,0.5,,0.5,,0.5,,0.5,,,,0.08,,0.08,,,,88.0,,88.0,f,,11.59,12.46,0.19,,0.19,,HAT-P-35.xml,
HAT-P-36,HAT-P-36,,,,0.049,,0.049,,,,0.056,,0.056,,6.6,,1.8,,1.8,,1.8,,1.8,,,,0.08,,0.08,,,,100.0,,100.0,g,,12.262,12.26,,,,,HAT-P-36.xml,
HAT-P-37,HAT-P-37,,,,0.043,,0.043,,,,0.044,,0.044,,3.6,,2.2,,2.2,,2.2,,2.2,,,,0.1,,0.1,,,,100.0,,100.0,g,,,,0.32,,0.32,,HAT-P-37.xml,
HAT-P-38,HAT-P-38,,,,0.044,,0.044,,,,0.067,,0.067,,10.1,,4.8,,4.8,,4.8,,4.8,,,,0.1,,0.1,,,,100.0,,100.0,g,,12.557,12.56,0.094,,0.094,,HAT-P-38.xml,
HAT-P-39,HAT-P-39,,,,0.051,,0.051,,,,0.062,,0.081,,2.0,,0.4,,0.4,,0.4,,0.4,,,,0.1,,0.1,,,,100.0,,100.0,f,,12.422,11.422,,,,,HAT-P-39.xml,
HAT-P-4,HAT-P-4,,,,0.14,,0.14,,,,0.07,,0.07,,4.2,,-0.6,,-0.6,,-0.6,,-0.6,0.24,0.2,,0.08,,0.08,,,,67.0,,67.0,f,,11.12,11.2,0.07,,0.07,,HAT-P-4.xml,
HAT-P-40,HAT-P-40,,,,0.109,,0.045,,,,0.061,,0.061,,2.7,,0.3,,0.9,,0.3,,0.9,,,,0.1,,0.1,,,,100.0,,100.0,f,,11.34,11.699,0.08,,0.08,,HAT-P-40.xml,
HAT-P-41,HAT-P-41,1.418,1.28,,0.09,,0.09,1.683,1.19,,0.08,,0.08,,2.2,,0.4,,0.4,,0.4,,0.4,0.21,0.13,,0.05,,0.05,6390.0,6479.0,,51.0,,51.0,f,,11.36,11.087,0.15,,0.15,,HAT-P-41.xml,
HAT-P-42,HAT-P-42,,,,0.067,,0.067,,,,0.136,,0.136,,,,0.7,,1.8,,0.7,,1.8,,,,0.08,,0.08,,,,50.0,,50.0,g,,12.17,12.168,0.03,,0.03,,HAT-P-42.xml,
HAT-P-43,HAT-P-43,,,,0.042,,0.031,,,,0.022,,0.036,,,,1.1,,1.9,,1.1,,1.9,,,,0.08,,0.08,,,,74.0,,74.0,f,,,,0.03,,0.03,,HAT-P-43.xml,
HAT-P-44,HAT-P-44,,,,,,,,,0.055,0.11,0.110,0.055,,,,,,,,3.9,,3.9,,,,,,,,,,,,,,,,,,,,,HAT-P-44.xml,
HAT-P-45,HAT-P-45,,,,,,,,,,,,,,,,,,,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,HAT-P-45.xml,
HAT-P-46,HAT-P-46,,,,,,,,,,,,,,,,,,,,1.0,,0.7,,,,,,,,,,,,,,,,,,,,,HAT-P-46.xml,
HAT-P-49,HAT-P-49,,,,,,,,,0.076,0.138,0.138,0.076,2.5,1.5,1,0.2,0.7,0.2,,0.2,,0.2,,,,,,,,,,,,,,,10.326,10.21,0.01,,0.01,,HAT-P-49.xml,
HAT-P-5,HAT-P-5,,,,0.065,,0.065,,,,0.007,,0.007,,1.7,,1.4,,1.4,,1.4,,1.4,,,,0.15,,0.15,,,,100.0,,100.0,g,,11.95,12.0,0.16,,0.16,,HAT-P-5.xml,
HAT-P-50,HAT-P-50,,,0.115,0.049,0.049,0.115,,,,,,,,,0.27,1.44,1.44,0.27,,1.44,,0.27,,,,,,,,,,,,,,,11.762,11.76,0.030,,0.030,,HAT-P-50.xml,
HAT-P-51,HAT-P-51,,,,,,,,,0.029,0.038,0.038,0.029,,,,,,,,1.7,,1.7,,,,,,,,,,,,,,,,,0.040,,0.040,,HAT-P-51.xml,
HAT-P-52,HAT-P-52,,,,,,,,,,,,,,,,,,,,4.1,,4.1,,,,,,,,,,,,,,,14.068,14.07,0.020,,0.020,,HAT-P-52.xml,
HAT-P-53,HAT-P-53,,,,,,,,,0.062,0.081,0.081,0.062,,,0.83,1.45,1.45,0.83,,1.45,,0.83,,,,,,,,,,,,,,,11.73,13.73,0.18,,0.18,,HAT-P-53.xml,
HAT-P-54,HAT-P-54,,,,,,,,,,,,,,,,,,,,2.1,,4.3,,,,,,,,,,,,,,,,,0.06,,0.06,,HAT-P-54.xml,
HAT-P-55,HAT-P-55,,,,,,,,,,,,,,,,,,,,1.7,,1.7,,,,,,,,,,,,,,,,,0.039,,0.039,,HAT-P-55.xml,
HAT-P-56,HAT-P-56,,,,,,,,,,,,,,,,,,,,0.35,,0.35,,-0.077,,0.08,,0.08,,,,,,,,,10.908,10.91,0.036,,0.036,,HAT-P-56.xml,
HAT-P-57 A,HAT-P-57,,,,,,,,,,,,,,,,,,,,0.51,,0.67,,,,,,,,,,,,,a8v,,10.465,10.47,0.029,,0.029,,HAT-P-57.xml,
HAT-P-6,HAT-P-6,,,,0.06,,0.06,,,,0.06,,0.06,,2.3,,0.7,,0.7,,0.7,,0.7,,,,0.08,,0.08,,,,80.0,,80.0,f,,10.47,10.5,0.04,,0.04,,HAT-P-6.xml,
HAT-P-7 A,HAT-P-7,1.59,1.51,0.03,0.05,0.03,0.04,2.02,2.0,0.01,0.02,,,1.770,2.07,0.100,0.23,0.100,0.28,,0.23,,0.28,0.32,0.13,0.04,,0.04,,6310,6259.0,15,32.0,15,32.0,f6,,10.48,10.5,0.05,,0.05,,HAT-P-7.xml,
HAT-P-8,HAT-P-8,1.192,1.28,,0.04,,0.04,1.475,1.58,,0.06,,0.06,4.3,3.4,,1.0,,1.0,,1.0,,1.0,,,,0.08,,0.08,,,,80.0,,80.0,f,,10.36,10.17,0.03,,0.03,,HAT-P-8.xml,
HAT-P-9,HAT-P-9,,,,0.13,,0.13,,,,0.07,,0.07,,1.6,,1.4,,1.4,,1.4,,1.4,,,,0.2,,0.2,,,,150.0,,150.0,f,,12.34,,0.27,,0.27,,HAT-P-9.xml,
HATS-1,HATS-1,,,,0.054,,0.054,,,,0.075,,0.075,,6.0,,2.8,,2.8,,2.8,,2.8,,,,0.12,,0.12,,,,100.0,,100.0,g2v,,12.053,12.05,0.017,,0.017,,HATS-1.xml,
HATS-10,HATS-10,1.101,1.1,,,,,,,0.040,0.055,0.055,0.04,,,,,,,,1.7,,1.7,,,,,,,,,,,,,,,13.113,13.1,0.010,,0.010,,HATS-10.xml,
HATS-13,HATS-13,,,,,,,,,,,,,,,,,,,,1.7,,1.7,,,,,,,,,,,,,,,13.887,13.89,0.010,,0.010,,HATS-13.xml,
HATS-14,HATS-14,0.97,0.967,0.02,0.024,0.02,0.024,0.93,0.933,0.02,0.023,0.02,0.015,,,,,,,,1.7,,1.7,0.28,0.33,0.03,0.06,0.03,0.06,5408,5346.0,65,60.0,65,60.0,,,,,0.10,,0.10,,HATS-14.xml,
HATS-15,HATS-15,,,,,,,,,,,,,,,,,,,,2.0,,1.4,,,,,,,,,,,,,g9v,,,,0.010,,0.010,,HATS-15.xml,
HATS-16,HATS-16,,,,,,,,,,,,,,,,,,,,1.8,,1.8,,,,,,,,,,,,,g3v,,,,0.020,,0.020,,HATS-16.xml,
HATS-17,HATS-17,,,,,,,,,,,,,,,,,,,,1.3,,1.3,,,,,,,,,,,,,g,,12.39,12.4,0.10,,0.10,,HATS-17.xml,
HATS-2,HATS-2,0.88,0.882,,0.037,,0.037,0.89,0.898,,0.019,,0.019,,,,2.9,,2.9,,2.9,,2.9,,,,0.05,,0.05,,,,95.0,,95.0,k,,13.62,13.562,0.06,,0.06,,HATS-2.xml,
HATS-3,HATS-3,1.300,1.209,0.088,0.036,0.088,0.036,1.725,1.404,0.242,0.03,0.242,0.03,3.1,3.2,,,0.8,0.6,,0.4,,0.6,,,,,,,,,,,,,f,,12.44,11.44,0.2,,0.2,,HATS-3.xml,
HATS-4,HATS-4,,,,,,,,,,,,,,,,,,,,1.6,,1.6,,,,,,,,,,,,,,,13.459,13.5,0.017,,0.017,,HATS-4.xml,
HATS-5,HATS-5,,,,,,,,,,,,,,,1.9,2.6,2.6,1.9,,2.6,,1.9,,,,,,,,,,,,,,,,,0.030,,0.030,,HATS-5.xml,
HATS-6,HATS-6,,,,,,,,,,,,,8.1,,4.3,,4.3,,,,,,0.2,,0.091,,0.091,,,,,,,,,,15.160,15.2,0.024,,0.024,,HATS-6.xml,
HATS-7,HATS-7,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,k2,,,,0.010,,0.010,,HATS-7.xml,
HATS-8,HATS-8,,,,,,,,,,,,,,,,,,,,1.7,,1.7,,,,,,,,,,,,,,,,,0.10,,0.10,,HATS-8.xml,
HATS-9,HATS-9,,,0.039,0.04,0.039,0.04,1.503,1.5,0.043,0.1,0.101,0.04,,,,,,,,1.5,,1.5,,,,,,,5366,5336.0,,,,,,,13.276,13.3,0.010,,0.010,,HATS-9.xml,
HD 100655,HD 100655,,,,0.4,,0.4,,,,1.1,,1.1,,,,,,,,,,,,,,0.12,,0.12,,,,110.0,,110.0,g9iii,,,,,,,,HD 100655.xml,
HD 100777,HD 100777,,,,0.1,,0.1,,,,,,,,2.0,,nan,,inf,,nan,,inf,,,,0.03,,0.03,,,,24.0,,24.0,k0,,,,,,,,HD 100777.xml,
HD 10180,HD 10180,,,,0.05,,0.05,,,,,,,,4.3,,0.5,,0.5,,0.5,,0.5,,,,0.01,,0.01,,,,19.0,,19.0,g1v,,,,,,,,HD 10180.xml,
HD 101930,HD 101930,,,,0.05,,0.05,,,,,,,,5.39,,,,,,,,,,,,0.06,,0.06,,,,62.0,,62.0,k1v,,,,,,,,HD 101930.xml,
HD 102117,HD 102117,,,,0.05,,0.05,,,,,,,,6.21,,,,,,,,,,,,0.03,,0.03,,,,22.0,,22.0,g6v,,,,,,,,HD 102117.xml,
HD 102195,HD 102195,,,,0.016,,0.016,,,,0.016,,0.016,,2.4,,1.8,,1.8,,1.8,,1.8,,,,0.05,,0.05,,,,34.0,,34.0,k0v,,,,,,,,HD 102195.xml,
HD 102272,HD 102272,,,,0.3,,0.3,,,,4.6,,4.6,,,,,,,,,,,,,,0.08,,0.08,,,,35.0,,35.0,k0,,,,,,,,HD 102272.xml,
HD 102329,HD 102329,,,,0.14,,0.14,,,,0.1,,0.1,,1.6,,0.4,,0.4,,0.4,,0.4,,,,,,,,,,44.0,,44.0,k0,,,,,,,,HD 102329.xml,
HD 102365,HD 102365,,,,,,,,,,,,,,9.0,,3.0,,3.0,,3.0,,3.0,,,,0.07,,0.07,,,,100.0,,100.0,g2v,,,,,,,,HD 102365.xml,
HD 102956,HD 102956,,,,0.11,,0.11,,,,0.1,,0.1,,2.3,,5.0,,5.0,,5.0,,5.0,,,,0.04,,0.04,,,,44.0,,44.0,a,,,,,,,,HD 102956.xml,
HD 103197,HD 103197,,,,,,,,,,,,,,9.1,,,,,,,,,,,,0.04,,0.04,,,,58.0,,58.0,k1v,,,,,,,,HD 103197.xml,
HD 103720,HD 103720,,,,,,,,,,,,,,,,,,,,3.7,,3.7,,,,,,,,,,,,,k3v,,,,,,,,HD 103720.xml,
HD 103774,HD 103774,,,,0.06,,0.06,,,,,,,,1.05,,0.64,,0.64,,0.64,,0.64,,,,0.06,,0.06,,,,77.0,,77.0,f5v,,,,,,,,HD 103774.xml,
HD 104067,HD 104067,,,,0.02,,0.02,,,,,,,,4.33,,3.99,,3.99,,3.99,,3.99,,,,0.05,,0.05,,,,72.0,,72.0,k2v,,,,,,,,HD 104067.xml,
HD 10442,HD 10442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k2iv,,,,,,,,HD 10442.xml,
HD 104985,HD 104985,2.3,1.6,,,,,11,10.87,,0.36,,0.36,,2.95,,0.65,,0.65,,0.65,,0.65,-0.15,-0.35,,,,,4877,4786.0,,,,,g9iii,,5.797,5.79,,,,,HD 104985.xml,
HD 106252,HD 106252,,,,,,,,,,,,,,5.02,,,,,,,,,,,,,,,,,,,,,g0,,,,,,,,HD 106252.xml,
HD 106270,HD 106270,,,,0.092,,0.092,,,,0.1,,0.1,,4.3,,0.6,,0.6,,0.6,,0.6,,,,0.03,,0.03,,,,44.0,,44.0,g5,,,,,,,,HD 106270.xml,
HD 10647,HD 10647,1.11,1.1,,,,,,,,,,,1.4,4.8,,2.2,,2.2,,2.2,,2.2,0.0,-0.078,,,,,,,,,,,f9v,,,,,,,,HD 10647.xml,
HD 106515 A,HD 106515 A,0.97,0.91,,0.03,,0.03,1.62,,,,,,11.7,6.0,,2.0,,2.0,,2.0,,2.0,0.03,0.01,,,,,,5232.0,,,,,g5,,,,,,,,HD 106515 A.xml,
HD 106906,HD 106906,,,,,,,,,,,,,,,,,,,,0.002,,0.002,,,,,,,,,,,,,f5v,,7.81,7.8,,,,,HD 106906.xml,
