Primary planet name(from standardize_OEC_planet.csv),# name(from standardize_EU_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_EU_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),mass(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),radius(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),radius_error_min(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),radius_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),Radius [Rjup] lowerlimit(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),Radius [Rjup] upperlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),orbital_period(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),orbital_period_error_min(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),orbital_period_error_max(from standardize_EU_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),Orbital period [days] lowerlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),Orbital period [days] upperlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),eccentricity(from standardize_EU_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),eccentricity_error_min(from standardize_EU_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),eccentricity_error_max(from standardize_EU_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),Eccentricity lowerlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),Eccentricity upperlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),temp_calculated(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorminus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorplus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] lowerlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] upperlimit(from standardize_EU_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),detection_type(from standardize_EU_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),discovered(from standardize_EU_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),updated(from standardize_EU_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_EU_Catalogue_Data.csv)
Kepler-90 e,Kepler-90 e,confirmedplanets,,,,,,,,,,,,0.242407,0.238,0.026428,0.026,0.026428,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,448.0,,,,,,,,,transit,primarytransit,,,13/10/24,2016-02-24,Kepler-90.xml,
Kepler-90 f,Kepler-90 f,confirmedplanets,,,,,,,,,,,,0.262455,0.258,0.047388,0.047,0.047388,0.047,,,,,,,,,,,,,,,,0.01,,0.01,,0.02,,,,,,592.0,,,,,,,,,transit,primarytransit,,,13/10/24,2016-02-24,Kepler-90.xml,
Kepler-90 g,Kepler-90 g,confirmedplanets,,,,,,,,,,0.8,,0.72,0.725,0.07,0.072,0.07,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,,,,,,,,,transit,primarytransit,,,15/12/03,2016-02-24,Kepler-90.xml,
Kepler-90 h,Kepler-90 h,confirmedplanets,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,,,,,,,,,transit,primarytransit,,,15/12/03,2016-02-24,Kepler-90.xml,
Kepler-900 b,Kepler-900 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-900.xml,
Kepler-901 b,Kepler-901 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-901.xml,
Kepler-902 b,Kepler-902 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-902.xml,
Kepler-903 b,Kepler-903 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-903.xml,
Kepler-903 c,Kepler-903 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-903.xml,
Kepler-904 b,Kepler-904 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-904.xml,
Kepler-905 b,Kepler-905 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-905.xml,
Kepler-906 b,Kepler-906 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-906.xml,
Kepler-907 b,Kepler-907 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-907.xml,
Kepler-908 b,Kepler-908 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-908.xml,
Kepler-909 b,Kepler-909 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-909.xml,
Kepler-91 b,Kepler-91 b,confirmedplanets,,0.66,0.73,0.06,0.13,0.06,0.13,,0.13,,0.13,1.40,1.384,0.04,0.054,0.04,0.011,,,,,6.24668005,6.24658,0.00002647,8.2e-05,0.00002647,8.2e-05,,,,,0.0519,0.066,0.0088,0.017,0.0095,0.013,,,,,,,,,,,,,,,transit,primarytransit,,,15/01/27,2014-08-15,Kepler-91.xml,
Kepler-910 b,Kepler-910 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-910.xml,
Kepler-911 b,Kepler-911 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-911.xml,
Kepler-912 b,Kepler-912 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-912.xml,
Kepler-913 b,Kepler-913 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-913.xml,
Kepler-914 b,Kepler-914 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-914.xml,
Kepler-915 b,Kepler-915 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-915.xml,
Kepler-916 b,Kepler-916 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-916.xml,
Kepler-917 b,Kepler-917 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-917.xml,
Kepler-918 b,Kepler-918 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-918.xml,
Kepler-919 b,Kepler-919 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-919.xml,
KOI-285 b,Kepler-92 b,confirmedplanets,,,0.189,,0.28,,0.126,,0.28,0.162,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,,,,,,,,,,transit,primarytransit,,,15/06/09,2015-12-15,KOI-285.xml,
KOI-285 c,Kepler-92 c,confirmedplanets,,,0.0179,,0.0277,,0.011,,0.0277,0.0890,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,,,,,,,,,,transit,primarytransit,,,15/06/09,2015-12-15,KOI-285.xml,
KOI-285 d,Kepler-92 d,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,,,,,,,,,,transit,primarytransit,2014,2015,15/06/09,2015-12-15,KOI-285.xml,
Kepler-920 b,Kepler-920 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-920.xml,
Kepler-920 c,Kepler-920 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-920.xml,
Kepler-921 b,Kepler-921 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-921.xml,
Kepler-922 b,Kepler-922 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-922.xml,
Kepler-923 b,Kepler-923 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-923.xml,
Kepler-924 b,Kepler-924 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-924.xml,
Kepler-925 b,Kepler-925 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-925.xml,
Kepler-926 b,Kepler-926 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-926.xml,
Kepler-927 b,Kepler-927 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-927.xml,
Kepler-928 b,Kepler-928 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-928.xml,
Kepler-929 b,Kepler-929 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-929.xml,
Kepler-93 b,Kepler-93 b,confirmedplanets,,,,,,,,,0.0021,,0.0021,0.1319,0.13230463432,0.0017,0.00223035459069425,0.0017,0.00223035459069425,,,,,,,,,,,,,,,0,,,,,,,,,,,1037.0,,,,,,,,,transit,primarytransit,,,15/01/06,2015-11-25,Kepler-93.xml,
Kepler-930 b,Kepler-930 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-930.xml,
Kepler-931 b,Kepler-931 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-931.xml,
Kepler-932 b,Kepler-932 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-932.xml,
Kepler-933 b,Kepler-933 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-933.xml,
Kepler-934 b,Kepler-934 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-934.xml,
Kepler-935 b,Kepler-935 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-935.xml,
Kepler-936 b,Kepler-936 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-936.xml,
Kepler-937 b,Kepler-937 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-937.xml,
Kepler-937 c,Kepler-937 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-937.xml,
Kepler-938 b,Kepler-938 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-938.xml,
Kepler-939 b,Kepler-939 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-939.xml,
Kepler-94 b,Kepler-94 b,confirmedplanets,,0.034099,0.03411,0.004404,0.0044,0.004404,0.0044,,0.0044,,0.0044,0.319867,0.313,0.013670,0.013,0.013670,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/24,2015-12-17,Kepler-94.xml,
Kepler-94 c,Kepler-94 c,confirmedplanets,,9.833460,9.836,0.629140,0.629,0.629140,0.629,,0.629,,0.629,,,,,,,,,,,820.3,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,14/02/24,2015-12-17,Kepler-94.xml,
Kepler-940 b,Kepler-940 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-940.xml,
Kepler-941 b,Kepler-941 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-941.xml,
Kepler-942 b,Kepler-942 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-942.xml,
Kepler-944 b,Kepler-944 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-944.xml,
Kepler-945 b,Kepler-945 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-945.xml,
Kepler-946 b,Kepler-946 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-946.xml,
Kepler-947 b,Kepler-947 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-947.xml,
Kepler-948 b,Kepler-948 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-948.xml,
Kepler-949 b,Kepler-949 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-949.xml,
Kepler-95 b,Kepler-95 b,confirmedplanets,,0.040894,0.041,0.009123,0.009,0.009123,0.009,,0.009,,0.009,0.311666,0.305,0.008202,0.008,0.008202,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/24,2015-12-18,Kepler-95.xml,
Kepler-950 b,Kepler-950 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-950.xml,
Kepler-951 b,Kepler-951 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-951.xml,
Kepler-952 b,Kepler-952 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-952.xml,
Kepler-953 b,Kepler-953 b,confirmedplanets,,,,,,,,,,,,0.376,0.315,0.029,,0.033,,,,,,88.406552580,88.4075,0.000083060,,0.000083060,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,2016,2012,16/05/10,2016-05-24,Kepler-953.xml,
Kepler-953 c,Kepler-953 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-24,Kepler-953.xml,
Kepler-954 b,Kepler-954 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-954.xml,
Kepler-955 b,Kepler-955 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-955.xml,
Kepler-956 b,Kepler-956 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-956.xml,
Kepler-957 b,Kepler-957 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-957.xml,
Kepler-958 b,Kepler-958 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-958.xml,
Kepler-959 b,Kepler-959 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-959.xml,
Kepler-96 b,Kepler-96 b,confirmedplanets,,,0.027,,0.011,,0.011,,0.011,0.037748,0.011,0.243318,0.238,0.020049,0.02,0.020049,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/24,2015-11-30,Kepler-96.xml,
Kepler-960 b,Kepler-960 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-960.xml,
Kepler-961 b,Kepler-961 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-961.xml,
Kepler-962 b,Kepler-962 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-962.xml,
Kepler-963 b,Kepler-963 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-963.xml,
Kepler-964 b,Kepler-964 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-964.xml,
Kepler-965 b,Kepler-965 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-965.xml,
Kepler-966 b,Kepler-966 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-966.xml,
Kepler-967 b,Kepler-967 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-967.xml,
Kepler-967 c,Kepler-967 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-967.xml,
Kepler-968 b,Kepler-968 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-968.xml,
Kepler-968 c,Kepler-968 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-968.xml,
Kepler-969 b,Kepler-969 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-969.xml,
Kepler-969 c,Kepler-969 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-969.xml,
Kepler-970 b,Kepler-970 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-970.xml,
Kepler-971 b,Kepler-971 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-971.xml,
Kepler-972 b,Kepler-972 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-972.xml,
Kepler-973 b,Kepler-973 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-973.xml,
Kepler-974 b,Kepler-974 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-06-27,Kepler-974.xml,
Kepler-975 b,Kepler-975 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-975.xml,
Kepler-976 b,Kepler-976 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-976.xml,
Kepler-977 b,Kepler-977 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-977.xml,
Kepler-978 b,Kepler-978 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-978.xml,
Kepler-979 b,Kepler-979 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-979.xml,
Kepler-980 b,Kepler-980 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-980.xml,
Kepler-981 b,Kepler-981 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-981.xml,
Kepler-982 b,Kepler-982 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-982.xml,
Kepler-983 b,Kepler-983 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-983.xml,
Kepler-984 b,Kepler-984 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-984.xml,
Kepler-985 b,Kepler-985 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-985.xml,
