Primary planet name,All planet names,Lists,Mass [Mjup],Mass [Mjup] errorminus,Mass [Mjup] errorplus,Mass [Mjup] lowerlimit,Mass [Mjup] upperlimit,Radius [Rjup],Radius [Rjup] errorminus,Radius [Rjup] errorplus,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,Orbital period [days],Orbital period [days] errorminus,Orbital period [days] errorplus,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,Eccentricity,Eccentricity errorminus,Eccentricity errorplus,Eccentricity lowerlimit,Eccentricity upperlimit,Equilibrium temperature [K],Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,Discovery method,Discovery year,Last updated [yy/mm/dd],source (xml)
BD-17 63 b,BD-17 63 b,Confirmed planets,5.1,0.12,0.12,,,,,,,,655.6,0.6,0.6,,,0.54,0.005,0.005,,,,,,,,RV,2008,15/11/17,BD-17 63.xml
beta Cancri b,beta Cancri b|beta Cnc b|bet Cnc b|HD 69267 b,Confirmed planets,7.8,0.8,0.8,,,,,,,,605.2,4,4,,,0.08,0.02,0.02,,,,,,,,RV,2014,15/11/26,beta Cancri.xml
beta Pic b,beta Pic b|bet Pic b|Beta Pictoris b|HR 2020 b|HD 39060 b,Confirmed planets,11,5,5,,,1.65,0.06,0.06,,,8167,599,1947,,,0.07,0.05,0.11,,,1600,25,50,,,imaging,2008,15/08/22,beta Pic.xml
beta Ursae Minoris b,beta Ursae Minoris b|HD 131873 b|beta UMi b|bet UMi b|Kochab b,Confirmed planets,6.1,1.0,1.0,,,,,,,,522.3,2.7,2.7,,,0.19,0.02,0.02,,,,,,,,RV,2014,15/11/26,beta Ursae Minoris.xml
CFBDS 1458 b,CFBDS 1458 b|CFBDSIR J145829+101343 b,Confirmed planets,6.5,,,,,,,,,,9855,,,,,,,,,,,,,,,imaging,2011,11/03/08,CFBDS 1458.xml
CFBDSIR2149,CFBDSIR2149|CFBDSIR J214947.2-040308.9|CFBDS J214947-040308,Confirmed planets|Orphan planets,5.5,,,,,,,,,,,,,,,,,,,,,,,,,imaging,2012,12/11/14,CFBDSIR2149.xml
CHXR 73 b,CHXR 73 b,Confirmed planets,12,,,,,,,,,,,,,,,,,,,,,,,,,imaging,2006,11/03/08,CHXR 73.xml
CoRoT-1 b,CoRoT-1 b|CoRoT-Exo-1 b|2MASS J06481917-0306077 b|CoRoTID 102890318 b,Confirmed planets,1.03,0.12,0.12,,,1.49,0.08,0.08,,,1.5089557,0.0000064,0.0000064,,,0.0,,,,,1898,50,50,,,transit,2007,12/04/05,CoRoT-1.xml
CoRoT-10 b,CoRoT-10 b|CoRoT-Exo-10 b|2MASS J19241528+0044461 b|CoRoTID 100725706 b,Confirmed planets,2.75,,,,,0.97,,,,,13.2406,,,,,0.53,,,,,600.8,,,,,transit,2010,10/06/14,CoRoT-10.xml
CoRoT-11 b,CoRoT-11 b|CoRoT-Exo-11 b|2MASS J18424494+0556156 b|CoRoTID 105833549 b,Confirmed planets,2.49,,,,,1.39,,,,,2.994325,,,,,0.0,,,,,1593.4,,,,,transit,2010,12/07/02,CoRoT-11.xml
CoRoT-12 b,CoRoT-12 b,Confirmed planets,0.917,,,,,1.44,,,,,2.828042,,,,,0.07,,,,,1318.7,,,,,transit,2010,10/06/14,CoRoT-12.xml
CoRoT-13 b,CoRoT-13 b|CoRoT-Exo-13 b|2MASS J06505307-0505112 b|CoRoTID 110839339 b,Confirmed planets,1.308,,,,,0.885,,,,,4.03519,,,,,0.0,,,,,1166.5,,,,,transit,2010,10/07/12,CoRoT-13.xml
CoRoT-14 b,CoRoT-14 b|CoRoT-Exo-14 b|2MASS J06534181-0532097 b|CoRoTID 110864907 b,Confirmed planets,7.6,,,,,1.09,,,,,1.51214,,,,,0.0,,,,,1781.4,,,,,transit,2010,10/12/22,CoRoT-14.xml
CoRoT-16 b,CoRoT-16 b|2MASS J18340592-0600093 b,Confirmed planets,0.53,0.8,0.8,,,1.17,,,,,5.35227,,,,,0.33,0.1,0.3,,,1085.5,,,,,transit,2010,11/06/14,CoRoT-16.xml
CoRoT-17 b,CoRoT-17 b|2MASS J18344782-0636440 b,Confirmed planets,2.45,,,,,1.02,,,,,3.768125,,,,,0.0,,,,,1486.4,,,,,transit,2010,11/05/11,CoRoT-17.xml
CoRoT-18 b,CoRoT-18 b|2MASS J06324137-0001537 b,Confirmed planets,3.47,,,,,1.31,,,,,1.9000693,,,,,0.08,,,,,1396.0,,,,,transit,2011,12/04/05,CoRoT-18.xml
CoRoT-19 b,CoRoT-19 b|2MASS J06280805-0010144 b,Confirmed planets,1.11,,,,,1.45,,,,,3.89713,,,,,0.047,,,,,1515.3,,,,,transit,2011,11/07/05,CoRoT-19.xml
CoRoT-2 b,CoRoT-2 b|CoRoT-Exo-2 b|2MASS J19270649+0123013 b|CoRoTID 101206560 b,Confirmed planets,3.31,0.16,0.16,,,1.465,0.029,0.029,,,1.7429964,0.0000017,0.0000017,,,0.0,,,,,1392.7,,,,,transit,2007,12/04/05,CoRoT-2.xml
CoRoT-20 b,CoRoT-20 b|CoRoT-Exo 20 b|2MASS J06305289+0013369 b|USNO-A2.0 0900-03054387 b,Confirmed planets,4.24,0.23,0.23,,,0.84,0.04,0.04,,,9.2,,,,,0.562,0.013,0.013,,,1002,24,24,,,transit,2011,11/06/14,CoRoT-20.xml
CoRoT-21 b,CoRoT-21 b,Confirmed planets,2.26,,,,,1.3,,,,,2.72474,,,,,0.0,,,,,1867.0,,,,,transit,2011,11/12/13,CoRoT-21.xml
CoRoT-22 b,CoRoT-22 b|2MASS 18424010+0613088 b,Confirmed planets,0.0383853003178,0.0276877576062675,0.0440487052826983,,,0.435365216104,0.0347935316148303,0.0151664112167209,,,9.75598,0.00011,0.00011,,,0.077,0.042,0.3,,,885,280,54,,,transit,2014,14/08/28,CoRoT-22.xml
CoRoT-23 b,CoRoT-23 b|2MASS J18390782+0421281 b,Confirmed planets,2.8,,,,,1.05,,,,,3.6314,,,,,0.16,,,,,1508.9,,,,,transit,2011,11/09/20,CoRoT-23.xml
CoRoT-24 b,CoRoT-24 b|2MASS 06474141-0343094 c,Confirmed planets,,,,,0.018,0.33,0.04,0.04,,,5.1134,0.0006,0.0006,,,0,,,,,1070,140,140,,,transit,2014,14/06/08,CoRoT-24.xml
CoRoT-24 c,CoRoT-24 c|2MASS 06474141-0343094 c,Confirmed planets,0.088,0.035,0.035,,,0.44,0.04,0.04,,,11.759,0.0063,0.0063,,,0,,,,,850,80,80,,,transit,2014,14/06/08,CoRoT-24.xml
CoRoT-25 b,CoRoT-25 b,Confirmed planets,0.27,0.04,0.04,,,1.08,0.10,0.3,,,4.86069,0.00006,0.00006,,,0,,,,,,,,,,transit,2013,13/05/24,CoRoT-25.xml
CoRoT-26 b,CoRoT-26 b,Confirmed planets,0.52,0.05,0.05,,,1.26,0.07,0.13,,,4.20474,0.00005,0.00005,,,0,,,,,,,,,,transit,2013,13/05/24,CoRoT-26.xml
CoRoT-27 b,CoRoT-27 b|2MASS 1183241962 b,Confirmed planets,10.39,0.55,0.55,,,1.007,0.044,0.044,,,3.57532,0.00006,0.00006,,,,,,,0.065,1500,130,130,,,transit,2014,14/01/07,CoRoT-27.xml
CoRoT-28 b,CoRoT-28 b|2MASS J18344520+0534254 b,Confirmed planets,0.484,0.087,0.087,,,0.955,0.066,0.066,,,5.20851,0.00038,0.00038,,,0.047,0.038,0.055,,,,,,,,transit,2015,15/04/07,CoRoT-28.xml
CoRoT-29 b,CoRoT-29 b|2MASS J18353650+0628467 b,Confirmed planets,0.85,0.20,0.20,,,0.90,0.16,0.16,,,2.850570,0.000006,0.000006,,,0.082,0.081,0.081,,,,,,,,transit,2015,15/04/07,CoRoT-29.xml
CoRoT-3 b,CoRoT-3 b|CoRoT-Exo-3 b|2MASS J19281326+0007185 b|CoRoTID 101368192 b,Confirmed planets,21.66,1.0,1.0,,,1.01,0.07,0.07,,,4.25680,0.000005,0.000005,,,0.0,,,,,1554.7,,,,,transit,2008,12/04/05,CoRoT-3.xml
CoRoT-4 b,CoRoT-4 b|CoRoT-Exo-4 b|2MASS J06484671-0040219 b|CoRoTID 102912369 b,Confirmed planets,0.72,,,,,1.19,,,,,9.20205,,,,,0.0,,,,,975.6,,,,,transit,2008,08/11/27,CoRoT-4.xml
CoRoT-5 b,CoRoT-5 b|CoRoT-Exo-5 b|CoRoTID 102764809 b,Confirmed planets,0.467,0.024,0.047,,,1.388,0.047,0.046,,,4.0378962,0.0000019,0.0000019,,,0.09,0.04,0.09,,,1316.3,,,,,transit,2008,09/07/18,CoRoT-5.xml
CoRoT-6 b,CoRoT-6 b|CoRoT-Exo-6 b|CoRoTID 106017681 b,Confirmed planets,2.96,0.34,0.34,,,1.166,0.035,0.035,,,8.886593,0.000004,0.000004,,,,,,,0.1,929.2,,,,,transit,2009,10/01/11,CoRoT-6.xml
CoRoT-7 b,CoRoT-7 b|CoRoT-Exo-7 b|CoRoTID 102708694 b,Confirmed planets,0.0151,,,,,0.15,,,,,0.853585,0.000024,0.000024,,,0.0,,,,,1666.1,,,,,transit,2009,10/10/15,CoRoT-7.xml
CoRoT-7 c,CoRoT-7 c|CoRoT-Exo-7 c|CoRoTID 102708694 c,Confirmed planets,0.0264,,,,,,,,,,3.698,0.003,0.003,,,0.0,,,,,1018.8,,,,,RV,2009,10/10/15,CoRoT-7.xml
CoRoT-8 b,CoRoT-8 b|CoRoT-Exo-8 b|2MASS J19262124+0125352 b|CoRoTID 101086161 b,Confirmed planets,0.22,,,,,0.57,,,,,6.21229,,,,,0.0,,,,,783.1,,,,,transit,2010,10/06/14,CoRoT-8.xml
CoRoT-9 b,CoRoT-9 b|CoRoT-Exo-9 b|2MASS J18430881+0612150 b|CoRoTID 105891283 b,Confirmed planets,0.84,,,,,1.05,,,,,95.2738,,,,,0.11,,,,,376.6,,,,,transit,2010,10/03/17,CoRoT-9.xml
CT Cha B,CT Cha B,Confirmed planets,,,,14,24,2.4,,,,,,,,,,,,,,,2500,100,100,,,imaging,2008,15/06/08,CT Cha.xml
DH Tau B,DH Tau B|DH Tauri B,Confirmed planets,12,4,10,,,,,,,,,,,,,,,,,,2750,,,2700,2800,imaging,2005,11/03/08,DH Tau.xml
DP Leo b,DP Leo b,Confirmed planets|Planets in binary systems| P-type,6.05,,,,,,,,,,10230,,,,,0.39,,,,,,,,,,timing,2009,10/11/18,DP Leo.xml
EPIC 201208431 b,EPIC 201208431 b|EPIC 201208431.01|K2-4 b,Confirmed planets|Planets in binary systems| S-type,,,,,,0.218,0.037,0.037,,,10.00329,0.00159,0.00159,,,,,,,,563,11,11,,,transit,2015,15/07/07,EPIC 201208431.xml
EPIC 201295312 b,EPIC 201295312 b|EPIC 201295312.01,Confirmed planets,,,,,0.03776,0.2453,0.0196,0.0214,,,5.65639,0.00075,0.00075,,,0.12,0.09,0.22,,,,,,,,transit,2015,16/03/07,EPIC 201295312.xml
EPIC 201338508 c,EPIC 201338508 c|EPIC 201338508.01|K2-5 c,Confirmed planets,,,,,,0.202,0.055,0.055,,,10.93241,0.00134,0.00134,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 201338508.xml
EPIC 201338508 b,EPIC 201338508 b|EPIC 201338508.02|K2-5 b,Confirmed planets,,,,,,0.170,0.039,0.039,,,5.73594,0.00064,0.00064,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 201338508.xml
EPIC 201367065 b,EPIC 201367065 b|EPIC 201367065.01|K2-3 b|2MASS J11292037-0127173 b,Confirmed planets,0.0264,0.0066,0.0066,,,0.194,0.027,0.027,,,10.05449,0.00026,0.00026,,,,,,,0.29,,,,,,transit,2015,15/12/06,EPIC 201367065.xml
EPIC 201367065 c,EPIC 201367065 c|EPIC 201367065.02|K2-3 c|2MASS J11292037-0127173 c,Confirmed planets,,,,,,0.165,0.024,0.024,,,24.64354,0.00117,0.00117,,,,,,,0.20,,,,,,transit,2015,15/12/06,EPIC 201367065.xml
EPIC 201367065 d,EPIC 201367065 d|K2-3 d|2MASS J11292037-0127173 d,Confirmed planets,,,,,,0.135,0.021,0.021,,,44.55983,0.00590,0.00590,,,,,,,0.19,,,,,,transit,2015,15/12/06,EPIC 201367065.xml
EPIC 201384232 b,EPIC 201384232 b|EPIC 201384232.01|K2-6 b,Confirmed planets|Planets in binary systems| S-type,,,,,,0.230,0.081,0.081,,,30.94191,0.00467,0.00467,,,,,,,,615,105,105,,,transit,2015,15/07/07,EPIC 201384232.xml
EPIC 201393098 b,EPIC 201393098 b|EPIC 201393098.01|K2-7 b,Confirmed planets,,,,,,0.246,0.052,0.052,,,28.67992,0.00947,0.00947,,,,,,,,651,61,61,,,transit,2015,15/07/07,EPIC 201393098.xml
EPIC 201403446 b,EPIC 201403446 b|EPIC 201403446.01,Controversial|Planets in binary systems| S-type,,,,,,0.188,0.042,0.042,,,19.15344,0.00607,0.00607,,,,,,,,889,88,88,,,transit,2015,15/07/07,EPIC 201403446.xml
EPIC 201445392 b,EPIC 201445392 b|EPIC 201445392.01|K2-8 b,Confirmed planets,,,,,,0.319,0.063,0.063,,,10.35239,0.00086,0.00086,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 201445392.xml
EPIC 201445392 c,EPIC 201445392 c|EPIC 201445392.02|K2-8 c,Confirmed planets,,,,,,0.215,0.029,0.029,,,5.06416,0.00041,0.00041,,,,,,,,,,,,,transit,2015,15/07/07,EPIC 201445392.xml
EPIC 201465501 b,EPIC 201465501 b|EPIC 201465501.01|K2-9 b,Confirmed planets,,,,,,0.2007,0.0856,0.0473,,,18.4498,0.0015,0.0015,,,,,,,,,,,,,transit,2015,16/01/21,EPIC 201465501.xml
EPIC 201505350 c,EPIC 201505350 c|EPIC 201505350.01|K2-19 c,Confirmed planets,0.0500,0.0088,0.0242,,,0.434,0.039,0.055,,,11.90715,0.00150,0.00150,,,0.095,0.035,0.073,,,,,,,,transit,2015,15/12/06,EPIC 201505350.xml
EPIC 201505350 b,EPIC 201505350 b|EPIC 201505350.02|K2-19 b,Confirmed planets,0.138,0.038,0.038,,,0.691,0.035,0.035,,,7.91940,0.00005,0.00005,,,0.119,0.035,0.082,,,,,,,,transit,2015,15/12/06,EPIC 201505350.xml
EPIC 201505350 d,EPIC 201505350 d|K2-19 d,Confirmed planets,,,,,,0.102,0.012,0.012,,,2.50856,0.00041,0.00041,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 201505350.xml
EPIC 201546283 b,EPIC 201546283 b|EPIC 201546283.01|K2-27 b,Confirmed planets,0.09156,0.02328,0.02360,,,0.3970,0.0294,0.0294,,,6.77145,0.00013,0.00013,,,0.16,0.09,0.10,,,,,,,,transit,2015,16/03/07,EPIC 201546283.xml
EPIC 201549860 b,EPIC 201549860 b|EPIC 201549860.01,Controversial|Planets in binary systems| S-type,,,,,,0.203,0.037,0.037,,,5.6084,0.00055,0.00055,,,,,,,,766,14,14,,,transit,2015,15/07/07,EPIC 201549860.xml
EPIC 201565013 b,EPIC 201565013 b|EPIC 201565013.01,Controversial,,,,,,1.472,0.846,0.846,,,8.6381,0.00024,0.00024,,,,,,,,536,37,37,,,transit,2015,15/07/07,EPIC 201565013.xml
EPIC 201577035 b,EPIC 201577035 b|EPIC 201577035.01|K2-10 b,Confirmed planets,0.0850,0.0503,0.0535,,,0.3426,0.0303,0.0312,,,19.3044,0.0012,0.0012,,,0.31,0.18,0.16,,,,,,,,transit,2015,16/03/07,EPIC 201577035.xml
EPIC 201596316 b,EPIC 201596316 b|EPIC 201596316.01|K2-11 b,Confirmed planets,,,,,,0.695,0.859,0.859,,,39.93767,0.23229,0.23229,,,,,,,,734,253,253,,,transit,2015,15/07/07,EPIC 201596316.xml
EPIC 201613023 b,EPIC 201613023 b|EPIC 201613023.01|K2-12 b,Confirmed planets,,,,,,0.214,0.053,0.053,,,8.28212,0.0006,0.0006,,,,,,,,1003,121,121,,,transit,2015,15/07/07,EPIC 201613023.xml
EPIC 201617985 b,EPIC 201617985 b|EPIC 201617985.01,Controversial,,,,,,0.164,0.040,0.040,,,7.28161,0.00078,0.00078,,,,,,,,518,16,16,,,transit,2015,15/07/07,EPIC 201617985.xml
EPIC 201629650 b,EPIC 201629650 b|EPIC 201629650.01|K2-13 b,Confirmed planets|Planets in binary systems| S-type,,,,,,0.174,0.087,0.087,,,39.91488,0.32477,0.32477,,,,,,,,511,126,126,,,transit,2015,15/07/07,EPIC 201629650.xml
EPIC 201635569 b,EPIC 201635569 b|EPIC 201635569.01|K2-14 b,Confirmed planets,,,,,,0.443,0.039,0.039,,,8.36802,0.00019,0.00019,,,,,,,,488,8,8,,,transit,2015,15/07/07,EPIC 201635569.xml
EPIC 201637175 b,EPIC 201637175 b|EPIC 201637175 A b|K2-22 b|K2-22 A b,Confirmed planets|Planets in binary systems| S-type,,,,,1.4,,,,,0.22,0.381071,0.000001,0.000001,,,,,,,,,,,,,transit,2015,15/05/03,EPIC 201637175.xml
EPIC 201702477 b,EPIC 201702477 b|EPIC 201702477.01,Controversial|Planets in binary systems| S-type,,,,,,0.670,0.101,0.101,,,40.7362,0.00266,0.00266,,,,,,,,529,36,36,,,transit,2015,15/07/07,EPIC 201702477.xml
EPIC 201713348 b,EPIC 201713348 b,Confirmed planets,,,,,,0.118,0.008,0.008,,,1.42266,0.00005,0.00005,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 201713348.xml
EPIC 201713348 c,EPIC 201713348 c,Confirmed planets,,,,,,0.250,0.028,0.038,,,5.34059,0.00010,0.00010,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 201713348.xml
EPIC 201736247 b,EPIC 201736247 b|EPIC 201736247.01|K2-15 b,Confirmed planets,,,,,,0.228,0.028,0.028,,,11.8104,0.00204,0.00204,,,,,,,,676,26,26,,,transit,2015,15/07/07,EPIC 201736247.xml
EPIC 201754305 c,EPIC 201754305 c|EPIC 201754305.01|K2-16 c,Confirmed planets,,,,,,0.227,0.042,0.100,,,19.07863,0.00327,0.00327,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 201754305.xml
EPIC 201754305 b,EPIC 201754305 b|EPIC 201754305.02|K2-16 b,Confirmed planets,,,,,,0.180,0.021,0.021,,,7.61880,0.00087,0.00087,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 201754305.xml
EPIC 201828749 b,EPIC 201828749 b|EPIC 201828749.01,Controversial|Planets in binary systems| S-type,,,,,,0.353,0.299,0.299,,,33.51569,0.00232,0.00232,,,,,,,,613,239,239,,,transit,2015,15/07/07,EPIC 201828749.xml
EPIC 201855371 b,EPIC 201855371 b|EPIC 201855371.01|K2-17 b,Confirmed planets,,,,,,0.205,0.018,0.018,,,17.96753,0.00152,0.00152,,,,,,,,487,10,10,,,transit,2015,15/07/07,EPIC 201855371.xml
EPIC 201912552 b,EPIC 201912552 b|EPIC 201912552.01|K2-18 b,Confirmed planets,,,,,,0.206,0.021,0.021,,,32.94488,0.00281,0.00281,,,,,,,,272,15,15,,,transit,2015,15/07/07,EPIC 201912552.xml
EPIC 203771098 b,EPIC 203771098 b|K2-24 b,Confirmed planets,0.066,0.017,0.017,,,0.520,0.054,0.054,,,20.88508,0.00036,0.00036,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 203771098.xml
EPIC 203771098 c,EPIC 203771098 c|K2-24 c,Confirmed planets,0.0850,0.0217,0.0217,,,0.723,0.073,0.073,,,42.36342,0.00063,0.00063,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 203771098.xml
EPIC 203826436 b,EPIC 203826436 b,Confirmed planets,,,,,,0.144,0.015,0.015,,,4.44117,0.00075,0.00075,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 203826436.xml
EPIC 203826436 c,EPIC 203826436 c,Confirmed planets,,,,,,0.245,0.024,0.024,,,6.42904,0.00036,0.00036,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 203826436.xml
EPIC 203826436 d,EPIC 203826436 d,Confirmed planets,,,,,,0.244,0.032,0.032,,,14.09189,0.00135,0.00135,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 203826436.xml
EPIC 204129699 b,EPIC 204129699 b,Confirmed planets,1.774,0.079,0.079,,,,,,0.71,1.41,1.257850,0.000002,0.000002,,,0,,,,,,,,,,transit,2015,15/11/15,EPIC 204129699.xml
EPIC 204221263 b,EPIC 204221263 b,Confirmed planets,0.0378,0.0091,0.0091,,,0.138,0.014,0.014,,,4.01593,0.00050,0.00050,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 204221263.xml
EPIC 204221263 c,EPIC 204221263 c,Confirmed planets,0.031,0.014,0.014,,,0.216,0.026,0.026,,,10.56103,0.00090,0.00090,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 204221263.xml
EPIC 205071984 b,EPIC 205071984 b,Confirmed planets,,,,,,0.480,0.031,0.031,,,8.99218,0.00020,0.00020,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 205071984.xml
EPIC 205071984 c,EPIC 205071984 c,Confirmed planets,,,,,,0.310,0.037,0.087,,,20.65614,0.00598,0.00598,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 205071984.xml
EPIC 205071984 d,EPIC 205071984 d,Confirmed planets,,,,,,0.335,0.036,0.036,,,31.71922,0.00236,0.00236,,,,,,,,,,,,,transit,2015,15/12/06,EPIC 205071984.xml
EPIC 206011691 b,EPIC 206011691 b|2MASS J22411288-1429202 b|K2-21 b,Confirmed planets,,,,,,0.142,0.039,0.037,,,9.32414,0.00063,0.00059,,,,,,,,,,,,,transit,2015,15/07/31,EPIC 206011691.xml
EPIC 206011691 c,EPIC 206011691 c|2MASS J22411288-1429202 c|K2-21 c,Confirmed planets,,,,,,0.171,0.046,0.048,,,15.50120,0.00099,0.00093,,,,,,,,,,,,,transit,2015,15/07/31,EPIC 206011691.xml
EPIC 206318379 b,EPIC 206318379 b|K2-28 b,Confirmed planets,,,,,,0.212,0.022,0.022,,,2.260410,0.000018,0.000018,,,0,,,,,,,,,,transit,2015,16/03/07,EPIC 206318379.xml
EPIC 210363145 b,EPIC 210363145 b,Confirmed planets,,,,,1.9,0.209600,0.014581,0.014581,,,8.1998,0.0007,0.0007,,,0.14,0.09,0.22,,,,,,,,transit,2016,16/06/21,EPIC 210363145.xml
EPIC 210490365 b,EPIC 210490365 b|K2-25 b,Confirmed planets|Planets in open clusters,,,,,3,0.306,0.028,0.085,,,3.484552,0.000037,0.000031,,,0.27,0.21,0.16,,,,,,,,transit,2015,15/12/06,EPIC 210490365.xml
eps Coronae Borealis b,eps Coronae Borealis b|HD 143107 b|HR 5947 b|HIP 78159 b|eps CrB b|eps CrB A b,Confirmed planets|Planets in binary systems| S-type,6.7,0.3,0.3,,,,,,,,417.9,0.5,0.5,,,0.11,0.03,0.03,,,,,,,,RV,2012,15/09/22,eps Coronae Borealis.xml
eps Eridani b,eps Eridani b|eps Eri b|Epsilon Eridani b|e Eri b|e Eridani b|18 Eri b|18 Eridani b|HR 1084 b|HD 22049 b,Controversial,0.645,0.058,0.058,,,,,,,,2651,36,36,,,0.40,0.11,0.11,,,,,,,,RV,2000,15/11/12,eps Eridani.xml
eps Tau b,eps Tau b|eps Tauri b|Epsilon Tauri b|e Tau b|e Tauri b,Confirmed planets|Planets in open clusters,7.6,0.2,0.2,,,,,,,,594.9,5.3,5.3,,,0.151,0.023,0.023,,,,,,,,RV,2007,15/12/11,eps Tau.xml
eta Cet b,eta Cet b|Eta Ceti b|Deneb Algenubi b|HIP 5364 b|HD 6805 b|HR 334 b,Confirmed planets,2.46,0.12,0.12,,,,,,,,407.3,2.1,2.1,,,0.17,0.05,0.05,,,,,,,,RV,2014,15/12/11,eta Cet.xml
eta Cet c,eta Cet c|Eta Ceti c|Deneb Algenubi c|HIP 5364 c|HD 6805 c|HR 334 c,Confirmed planets,3.16,0.2,0.2,,,,,,,,744.3,4.1,4.1,,,0.02,0.03,0.03,,,,,,,,RV,2014,15/12/11,eta Cet.xml
FL Lyr b,FL Lyr b|FL Lyrae b|FL Lyrae (AB) b,Controversial|Planets in binary systems| P-type,,,,2,,,,,,,,,,2600,,,,,,,,,,,,timing,2015,15/11/16,FL Lyr.xml
Fomalhaut b,Fomalhaut b|Fomalhaut Ab|HD 216956 b|HR 8728 b|CD-30 19370 b|CPD-30 6685 b|SAO 191524 b|GJ 881 b|2MASS J22573901-2937193 b|HIP 113368 b|IRAS 22549-2953 b|alf PsA b|24 PsA b,Controversial|Planets in binary systems| S-type,,,,,,,,,,,320000,,,,,0.8,0.1,0.1,,,,,,,,imaging,2008,13/05/12,Fomalhaut.xml
FU Tau B,FU Tau B,Confirmed planets,15,,,,,,,,,,,,,,,,,,,,2375,,,,,imaging,2009,11/09/19,FU Tau.xml
FW Tau b,FW Tau b|FW Tau (AB) b,Confirmed planets|Planets in binary systems| P-type,10,4,4,,,,,,,,,,,,,,,,,,,,,,,imaging,2013,13/12/02,FW Tau.xml
Gamma Cephei b,Gamma Cephei b|Gamma Cephei A b|gam Cep A b|HD 222404 A b,Confirmed planets|Planets in binary systems| S-type,1.85,0.16,0.16,,,,,,,,903.3,1.5,1.5,,,0.049,0.034,0.034,,,,,,,,RV,2003,15/12/12,gamma Cephei.xml
Gamma Leonis b,Gamma Leonis b|gamma 1 Leo b|gam 1 Leo b|Algieba A b|Al Gieba A b,Confirmed planets|Planets in binary systems| S-type,8.78,1.0,1.0,,,,,,,,428.5,1.25,1.25,,,0.144,0.046,0.046,,,,,,,,RV,2009,15/09/22,Gamma Leonis.xml
GJ 1132 b,GJ 1132 b|LHS 281 b|2MASS J10145184-4709244 b,Confirmed planets,0.005096,0.001730,0.001730,,,0.105711,0.010024,0.010024,,,1.628930,0.000031,0.000031,,,,,,,,,,,,,transit,2015,15/11/12,GJ 1132.xml
GJ 160.2 b,GJ 160.2 b|Gliese 160.2 b,Controversial,0.0321,0.0186,0.0227,,,,,,,,5.2354,0.0065,0.0027,,,0.06,0.06,0.20,,,,,,,,RV,2014,15/04/21,GJ 160.2.xml
GJ 180 b,GJ 180 b|Gliese 180 b,Controversial,0.026,0.017,0.011,,,,,,,,17.380,0.020,0.018,,,0.11,0.11,0.14,,,,,,,,RV,2014,15/04/21,GJ 180.xml
GJ 180 c,GJ 180 c|Gliese 180 c,Controversial,0.020,0.013,0.012,,,,,,,,24.329,0.066,0.052,,,0.09,0.09,0.20,,,,,,,,RV,2014,15/04/21,GJ 180.xml
GJ 229 b,GJ 229 b|GJ 229 A b|Gliese 229 A b,Controversial|Planets in binary systems| S-type,0.101,0.050,0.053,,,,,,,,471,12,22,,,0.10,0.10,0.22,,,,,,,,RV,2014,15/04/21,GJ 229.xml
GJ 27.1 b,GJ 27.1 b|Gliese 27.1 b,Controversial,0.0409,0.0208,0.0129,,,,,,,,15.819,0.026,0.023,,,0.08,0.08,0.18,,,,,,,,RV,2014,15/04/21,GJ 27.1.xml
GJ 422 b,GJ 422 b|Gliese 422 b,Controversial,0.031,0.013,0.018,,,,,,,,26.161,0.098,0.082,,,0.05,0.05,0.21,,,,,,,,RV,2014,15/04/21,GJ 422.xml
GJ 682 b,GJ 682 b|Gliese 682 b,Controversial,0.014,0.012,0.012,,,,,,,,17.478,0.040,0.062,,,0.08,0.08,0.19,,,,,,,,RV,2014,15/04/21,GJ 682.xml
GJ 682 c,GJ 682 c|Gliese 682 c,Controversial,0.027,0.014,0.018,,,,,,,,57.32,0.48,0.45,,,0.10,0.10,0.19,,,,,,,,RV,2014,15/04/21,GJ 682.xml
