Primary system name,All system names,Right ascension,Declination,Distance [parsec],Distance errorminus,Distance errorplus,source (xml)
Kepler-36,kepler-36,19 25 00,+49 13 54,436.937,,,Kepler-36.xml
Kepler-360,kepler-360|koi-2111|kic8612275,19 05 08,+44 46 53,1230.47,,,Kepler-360.xml
Kepler-361,kepler-361|koi-2135|kic9904006,19 47 12,+46 44 28,894.44,,,Kepler-361.xml
Kepler-362,kepler-362|koi-2147|kic10404582,19 27 05,+47 31 47,648.69,,,Kepler-362.xml
Kepler-363,kepler-363|koi-2148|kic6021193,18 52 46,+41 18 19,734.62,,,Kepler-363.xml
Kepler-364,kepler-364|koi-2153|kic10253547,18 46 16,+47 23 55,872.59,,,Kepler-364.xml
Kepler-365,kepler-365|koi-2163|kic11358389,19 42 30,+49 07 49,1089.04,,,Kepler-365.xml
Kepler-366,kepler-366|koi-2168|kic11308499,19 47 24,+49 05 03,1268.38,,,Kepler-366.xml
Kepler-367,kepler-367|koi-2173|kic11774991,19 49 10,+49 58 53,196.01,,,Kepler-367.xml
Kepler-368,kepler-368|koi-2175|kic9022166,19 27 31,+45 23 16,765.99,,,Kepler-368.xml
Kepler-369,kepler-369|koi-2179|kic10670119,19 34 41,+47 54 30,279.57,,,Kepler-369.xml
Kepler-37,kepler-37|uga-1785,18 56 14,+44 31 05,66,,,Kepler-37.xml
Kepler-370,kepler-370|koi-2183|kic5706595,19 28 41,+40 54 58,1139.98,,,Kepler-370.xml
Kepler-371,kepler-371|koi-2194|kic3548044,19 29 18,+38 39 27,637.54,,,Kepler-371.xml
Kepler-372,kepler-372|koi-2195|kic11401767,19 25 01,+49 15 32,1539.69,,,Kepler-372.xml
Kepler-373,kepler-373|koi-2218|kic12058204,19 17 33,+50 35 49,763.85,,,Kepler-373.xml
Kepler-374,kepler-374|koi-2220|kic6871071,19 36 33,+42 22 13,950.89,,,Kepler-374.xml
Kepler-375,kepler-375|koi-2236|kic10723367,19 14 28,+48 05 54,1323.46,,,Kepler-375.xml
Kepler-376,kepler-376|koi-2278|kic3342794,19 26 25,+38 24 37,785.94,,,Kepler-376.xml
Kepler-377,kepler-377|koi-2279|kic3661886,19 41 41,+38 44 08,865.20,,,Kepler-377.xml
Kepler-378,kepler-378|koi-2287|kic9718066,19 39 47,+46 26 19,154.57,,,Kepler-378.xml
Kepler-379,kepler-379|koi-2289|kic3867615,19 42 48,+38 56 44,758.70,,,Kepler-379.xml
Kepler-38,kepler-38,19 07 19,+42 16 45,3500,,,Kepler-38.xml
Kepler-380,kepler-380|koi-2333|kic11121752,18 49 34,+48 45 32,811.74,,,Kepler-380.xml
Kepler-381,kepler-381|koi-2352|kic8013439,19 00 43,+43 49 51,243.23,,,Kepler-381.xml
Kepler-382,kepler-382|koi-2374|kic9364290,19 56 32,+45 52 11,841.11,,,Kepler-382.xml
Kepler-383,kepler-383|koi-2413|kic3234598,19 25 22,+38 21 47,519.82,,,Kepler-383.xml
Kepler-384,kepler-384|koi-2414|kic8611832,19 04 06,+44 46 58,482.52,,,Kepler-384.xml
Kepler-385,kepler-385|koi-2433|kic11968463,19 37 21,+50 20 11,1677.42,,,Kepler-385.xml
Kepler-386,kepler-386|koi-2442|kic11080405,19 19 26,+48 41 37,927.61,,,Kepler-386.xml
Kepler-387,kepler-387|koi-2443|kic9209624,19 11 11,+45 39 24,738.47,,,Kepler-387.xml
Kepler-388,kepler-388|koi-2466|kic8544992,18 59 18,+44 36 31,399.01,,,Kepler-388.xml
Kepler-389,kepler-389|koi-2473|kic8753896,19 27 50,+44 54 00,1101.76,,,Kepler-389.xml
Kepler-390,kepler-390|koi-2498|kic5959719,19 26 30,+41 12 30,429.55,,,Kepler-390.xml
Kepler-391,kepler-391|koi-2541|kic12306058,19 22 29,+51 03 26,1174.48,,,Kepler-391.xml
Kepler-392,kepler-392|koi-2585|kic7673841,19 14 38,+43 22 05,659.81,,,Kepler-392.xml
Kepler-393,kepler-393|koi-2595|kic8883329,19 23 58,+45 11 31,788.49,,,Kepler-393.xml
Kepler-394,kepler-394|koi-2597|kic12120307,19 45 12,+50 40 20,1422.08,,,Kepler-394.xml
Kepler-395,kepler-395|koi-2650|kic8890150,19 34 02,+45 08 11,537.21,,,Kepler-395.xml
Kepler-397,kepler-397|koi-2681|kic6878240,19 43 34,+42 22 49,1153.82,,,Kepler-397.xml
Kepler-398,kepler-398|koi-2693|kic5185897,19 25 52,+40 20 37,187.15,,,Kepler-398.xml
Kepler-399,kepler-399|koi-2707|kic5480640,19 58 00,+40 40 14,543.74,,,Kepler-399.xml
Kepler-4,kepler-4,19 02 28,+50 08 09,550,,,Kepler-4.xml
Kepler-400,kepler-400|koi-2711|kic5272233,19 23 46,+40 28 48,716.62,,,Kepler-400.xml
Kepler-401,kepler-401|koi-2714|kic12206313,19 20 19,+50 51 48,774.02,,,Kepler-401.xml
Kepler-402,kepler-402|koi-2722|kic7673192,19 13 28,+43 21 16,712.90,,,Kepler-402.xml
Kepler-403,kepler-403|koi-2732|kic9886361,19 19 41,+46 44 40,605.63,,,Kepler-403.xml
Kepler-404,kepler-404|koi-2768|kic9008737,19 05 35,+45 20 36,1059.76,,,Kepler-404.xml
Kepler-405,kepler-405|koi-3057|kic3234843,19 25 38,+38 20 24,1513.02,,,Kepler-405.xml
Kepler-406,kepler-406|koi-321|kic8753657,19 27 24,+44 58 05,353.6,,,Kepler-406.xml
Kepler-407,kepler-407|koi-1442|kic11600889,19 04 09,+49 36 52,326.4,,,Kepler-407.xml
Kepler-409,kepler-409|koi-1925|kic9955598,19 34 43,+46 51 09,69.2,,,Kepler-409.xml
Kepler-41,kepler-41,19 38 03,+48 58 54,771.43,,,Kepler-41.xml
Kepler-410,kepler-410,18 52 36,+45 08 23,132,6.9,6.9,Kepler-410.xml
Kepler-411,kepler-411,19 10 25,+49 31 24,,,,Kepler-411.xml
Kepler-412,kepler-412,19 04 26,+43 40 51,1056,36,36,Kepler-412.xml
Kepler-413,kepler-413|kic12351927,19 14 03,+51 09 45,,,,Kepler-413.xml
Kepler-418,kepler-418,19 37 44.04,+38 21 19.62,,,,Kepler-418.xml
Kepler-42,kepler-42|koi-961,19 28 52,+43 37 09,38.7,,,Kepler-42.xml
Kepler-421,kepler-421,18 53 01,+45 05 16,320,20,20,Kepler-421.xml
Kepler-422,kepler-422,18 50 31,+46 19 24,651.31,,,Kepler-422.xml
Kepler-424,kepler-424,19 54 29,+48 34 38,661.72,,,Kepler-424.xml
Kepler-430,kepler-430,19 31 14.07,+49 34 46.0,,,,Kepler-430.xml
Kepler-431,kepler-431,18 44 26.96,+43 13 40.0,,,,Kepler-431.xml
Kepler-434,kepler-434,19 34 20.729,+42 45 44.08,1240,120,120,Kepler-434.xml
Kepler-436,kepler-436,20 06 52.98,+44 24 43.4,618,30,34,Kepler-436.xml
Kepler-437,kepler-437,19 49 23.37,+44 01 37.0,417,21,24,Kepler-437.xml
Kepler-438,kepler-438,18 46 35.00,+41 57 03.9,145,23,20,Kepler-438.xml
Kepler-439,kepler-439,18 43 12.38,+44 02 02.4,693,38,66,Kepler-439.xml
Kepler-44,kepler-44,20 00 25,+45 45 44,2250,300,300,Kepler-44.xml
Kepler-440,kepler-440,19 01 23.99,+41 27 07.9,261,46,16,Kepler-440.xml
Kepler-441,kepler-441,18 58 16.05,+49 00 45.2,284,48,28,Kepler-441.xml
Kepler-442,kepler-442,19 01 27.98,+39 16 48.3,342,22,19,Kepler-442.xml
Kepler-443,kepler-443,19 14 26.53,+49 58 07.1,779,38,45,Kepler-443.xml
Kepler-444,kepler-444,19 19 00.54910,+41 38 04.5682,35.7,1.1,1.1,Kepler-444.xml
Kepler-445,kepler-445,19 54 56.668,+46 29 55.08,90,,,Kepler-445.xml
Kepler-446,kepler-446,18 49 00.051,+44 55 15.99,120,,,Kepler-446.xml
Kepler-447,kepler-447,19 01 04.461,+48 33 36.05,,,,Kepler-447.xml
Kepler-449,kepler-449,19 34 55.874,+41 54 02.98,,,,Kepler-449.xml
Kepler-45,kepler-45,19 31 30,+41 03 51,333,33,33,Kepler-45.xml
Kepler-450,kepler-450,19 41 56.76,+51 00 48.6,,,,Kepler-450.xml
Kepler-452,kepler-452|kic8311864,19 44 00,+44 16 39,430,,,Kepler-452.xml
Kepler-454,kepler-454|koi-273,19 09 54.841,+38 13 43.95,200,,,Kepler-454.xml
Kepler-46,kepler-46|koi-872|kic7109675,19 17 04,+42 36 15,855,,,Kepler-46.xml
Kepler-461,kepler-461,19 28 59.8,+46 09 54,,,,Kepler-461.xml
Kepler-462,kepler-462,19 59 17,+43 48 51,,,,Kepler-462.xml
Kepler-463,kepler-463,19 55 45,+44 51 28,,,,Kepler-463.xml
Kepler-464,kepler-464,19 39 20,+48 58 56,,,,Kepler-464.xml
Kepler-465,kepler-465,18 58 13,+46 03 50,,,,Kepler-465.xml
Kepler-466,kepler-466,19 42 36,+48 29 44,,,,Kepler-466.xml
Kepler-467,kepler-467,19 09 27,+38 38 59,,,,Kepler-467.xml
Kepler-468,kepler-468,19 15 37,+49 22 14,,,,Kepler-468.xml
Kepler-469,kepler-469,19 49 54,+41 06 51,,,,Kepler-469.xml
Kepler-47,kepler-47,19 41 11,+46 55 13,1189,,,Kepler-47.xml
Kepler-470,kepler-470,19 48 02,+50 22 20,,,,Kepler-470.xml
Kepler-471,kepler-471,19 56 23,+43 29 51,,,,Kepler-471.xml
Kepler-472,kepler-472,19 46 06,+39 14 59,,,,Kepler-472.xml
Kepler-473,kepler-473,19 06 31,+38 56 44,,,,Kepler-473.xml
Kepler-474,kepler-474,19 29 17,+43 52 52,,,,Kepler-474.xml
Kepler-475,kepler-475,19 08 12,+40 12 42,,,,Kepler-475.xml
Kepler-476,kepler-476,19 40 39,+43 57 47,,,,Kepler-476.xml
Kepler-477,kepler-477,19 12 16,+42 21 19,,,,Kepler-477.xml
Kepler-478,kepler-478,19 29 57,+46 11 46,,,,Kepler-478.xml
Kepler-479,kepler-479,19 24 05,+37 46 11,,,,Kepler-479.xml
Kepler-48,kepler-48,19 56 33,+40 56 56,313.14,,,Kepler-48.xml
Kepler-480,kepler-480,19 37 51,+49 45 54,,,,Kepler-480.xml
Kepler-481,kepler-481,19 27 38,+49 15 43,,,,Kepler-481.xml
Kepler-482,kepler-482,19 47 17,+48 06 27,,,,Kepler-482.xml
Kepler-483,kepler-483,19 26 35,+41 53 05,,,,Kepler-483.xml
Kepler-484,kepler-484,18 57 35,+46 14 57,,,,Kepler-484.xml
Kepler-485,kepler-485,19 39 59,+50 28 12,,,,Kepler-485.xml
Kepler-486,kepler-486,18 59 31,+49 16 01,,,,Kepler-486.xml
Kepler-487,kepler-487,19 41 09,+41 13 19,,,,Kepler-487.xml
Kepler-488,kepler-488,18 51 52,+48 20 42,,,,Kepler-488.xml
Kepler-489,kepler-489,19 23 20,+38 11 04,,,,Kepler-489.xml
Kepler-49,kepler-49|koi-248|kic5364071,19 29 10,+40 35 30,385.34,,,Kepler-49.xml
Kepler-490,kepler-490,19 40 06,+46 57 22,,,,Kepler-490.xml
Kepler-491,kepler-491,19 08 31,+42 21 01,,,,Kepler-491.xml
Kepler-492,kepler-492,19 41 59,+42 32 16,,,,Kepler-492.xml
Kepler-493,kepler-493,19 41 14,+38 52 54,,,,Kepler-493.xml
Kepler-494,kepler-494,19 48 51,+41 39 51,,,,Kepler-494.xml
Kepler-495,kepler-495,19 03 43,+39 05 53,,,,Kepler-495.xml
Kepler-496,kepler-496,19 26 34,+41 14 28,,,,Kepler-496.xml
Kepler-497,kepler-497,19 23 04,+38 55 41,,,,Kepler-497.xml
Kepler-498,kepler-498,19 21 26,+44 31 08,,,,Kepler-498.xml
Kepler-499,kepler-499,19 40 26,+43 54 55,,,,Kepler-499.xml
Kepler-5,kepler-5,19 57 38,+44 02 06,,,,Kepler-5.xml
Kepler-50,kepler-50,19 12 24,+50 02 01,269.79,,,Kepler-50.xml
Kepler-500,kepler-500,19 43 48,+43 51 07,,,,Kepler-500.xml
Kepler-501,kepler-501,19 48 48,+41 43 49,,,,Kepler-501.xml
Kepler-502,kepler-502,19 24 19,+43 51 37,,,,Kepler-502.xml
Kepler-503,kepler-503,19 22 33,+38 42 28,,,,Kepler-503.xml
Kepler-504,kepler-504,18 59 41,+45 58 21,,,,Kepler-504.xml
Kepler-505,kepler-505,19 11 26,+42 32 33,,,,Kepler-505.xml
Kepler-506,kepler-506,18 58 32,+40 43 11,,,,Kepler-506.xml
Kepler-507,kepler-507,19 48 05,+50 24 32,,,,Kepler-507.xml
Kepler-508,kepler-508,19 41 37,+42 58 53,,,,Kepler-508.xml
Kepler-509,kepler-509,19 18 39,+48 42 22,,,,Kepler-509.xml
Kepler-51,kepler-51|koi-620,19 45 55.146,+49 56 15.66,,,,Kepler-51.xml
Kepler-510,kepler-510,19 10 37,+39 14 39,,,,Kepler-510.xml
Kepler-511,kepler-511,18 51 47,+47 34 30,,,,Kepler-511.xml
Kepler-512,kepler-512,19 53 05,+48 55 00,,,,Kepler-512.xml
Kepler-513,kepler-513,19 00 10,+50 04 31,,,,Kepler-513.xml
Kepler-514,kepler-514,19 04 59,+50 14 33,,,,Kepler-514.xml
Kepler-515,kepler-515,19 21 59,+52 03 20,,,,Kepler-515.xml
Kepler-516,kepler-516,19 42 26,+38 44 09,,,,Kepler-516.xml
Kepler-517,kepler-517,19 34 42,+41 17 43,,,,Kepler-517.xml
Kepler-518,kepler-518,19 08 22,+41 22 26,,,,Kepler-518.xml
Kepler-519,kepler-519,19 57 17,+41 23 05,,,,Kepler-519.xml
Kepler-52,kepler-52|koi-775|kic11754553,19 06 57,+49 58 32,356.41,,,Kepler-52.xml
Kepler-520,kepler-520,19 32 43,+41 37 04,,,,Kepler-520.xml
Kepler-521,kepler-521,19 55 16,+43 59 53,,,,Kepler-521.xml
Kepler-522,kepler-522,19 12 37,+44 04 08,,,,Kepler-522.xml
Kepler-523,kepler-523,18 56 15,+45 30 25,,,,Kepler-523.xml
Kepler-524,kepler-524,19 47 26,+49 09 43,,,,Kepler-524.xml
Kepler-525,kepler-525,19 44 44,+47 21 32,,,,Kepler-525.xml
Kepler-526,kepler-526,19 50 36,+47 23 47,,,,Kepler-526.xml
Kepler-527,kepler-527,19 23 50,+47 24 23,,,,Kepler-527.xml
Kepler-528,kepler-528,19 42 44,+47 44 53,,,,Kepler-528.xml
Kepler-529,kepler-529,19 03 33,+47 52 49,,,,Kepler-529.xml
Kepler-53,kepler-53|koi-829|kic5358241,19 21 50,+40 33 44,1430.64,,,Kepler-53.xml
Kepler-530,kepler-530,18 53 22,+48 32 57,,,,Kepler-530.xml
Kepler-531,kepler-531,19 06 06,+48 41 01,,,,Kepler-531.xml
Kepler-532,kepler-532,19 54 39,+48 36 23,,,,Kepler-532.xml
Kepler-533,kepler-533,19 34 45,+48 49 31,,,,Kepler-533.xml
Kepler-534,kepler-534,19 45 40,+49 32 24,,,,Kepler-534.xml
Kepler-535,kepler-535,19 46 16,+49 41 47,,,,Kepler-535.xml
Kepler-536,kepler-536,19 50 57,+49 38 14,,,,Kepler-536.xml
Kepler-537,kepler-537,19 19 31,+51 16 37,,,,Kepler-537.xml
Kepler-538,kepler-538,19 49 57,+49 37 24,,,,Kepler-538.xml
Kepler-539,kepler-539,19 56 29,+41 52 00,,,,Kepler-539.xml
Kepler-54,kepler-54|koi-886|kic7455287,19 39 05,+43 03 22,499.51,,,Kepler-54.xml
Kepler-540,kepler-540,19 22 30,+44 52 26,,,,Kepler-540.xml
Kepler-541,kepler-541,19 36 36,+38 27 30,,,,Kepler-541.xml
Kepler-542,kepler-542,19 28 52,+38 32 55,,,,Kepler-542.xml
Kepler-543,kepler-543,19 08 52,+38 51 45,,,,Kepler-543.xml
Kepler-544,kepler-544,19 36 07,+39 03 07,,,,Kepler-544.xml
Kepler-545,kepler-545,19 22 16,+40 41 31,,,,Kepler-545.xml
Kepler-546,kepler-546,18 53 02,+40 59 26,,,,Kepler-546.xml
Kepler-547,kepler-547,19 04 28,+44 20 43,,,,Kepler-547.xml
Kepler-548,kepler-548,19 59 37,+45 26 23,,,,Kepler-548.xml
Kepler-549,kepler-549,18 52 05,+47 15 40,,,,Kepler-549.xml
Kepler-55,kepler-55|koi-904|kic8150320,19 00 40,+44 01 35,610.01,,,Kepler-55.xml
Kepler-550,kepler-550,19 50 48,+47 51 50,,,,Kepler-550.xml
Kepler-551,kepler-551,19 01 56,+48 03 16,,,,Kepler-551.xml
Kepler-552,kepler-552,19 22 59,+48 14 31,,,,Kepler-552.xml
Kepler-553,kepler-553,19 54 12,+48 19 57,,,,Kepler-553.xml
Kepler-554,kepler-554,19 45 38,+51 21 29,,,,Kepler-554.xml
Kepler-555,kepler-555,19 02 04,+38 55 57,,,,Kepler-555.xml
Kepler-556,kepler-556,19 22 07,+38 56 34,,,,Kepler-556.xml
Kepler-557,kepler-557,19 34 50,+41 36 54,,,,Kepler-557.xml
Kepler-558,kepler-558,18 58 38,+42 39 10,,,,Kepler-558.xml
Kepler-559,kepler-559,19 46 33,+43 48 10,,,,Kepler-559.xml
Kepler-56,kepler-56,19 35 02.01,+41 52 18.7,,,,Kepler-56.xml
Kepler-560,kepler-560,20 00 49,+45 01 05,,,,Kepler-560.xml
Kepler-561,kepler-561,19 34 59,+45 06 26,,,,Kepler-561.xml
Kepler-562,kepler-562,19 20 29,+46 16 26,,,,Kepler-562.xml
Kepler-563,kepler-563,19 29 47,+46 17 23,,,,Kepler-563.xml
Kepler-564,kepler-564,19 47 21,+46 37 35,,,,Kepler-564.xml
Kepler-565,kepler-565,18 54 28,+47 11 48,,,,Kepler-565.xml
Kepler-566,kepler-566,19 26 13,+47 48 52,,,,Kepler-566.xml
Kepler-567,kepler-567,19 50 41,+48 18 08,,,,Kepler-567.xml
Kepler-568,kepler-568,19 52 25,+48 24 04,,,,Kepler-568.xml
Kepler-569,kepler-569,18 54 02,+48 33 09,,,,Kepler-569.xml
Kepler-57,kepler-57,19 34 33,+44 39 25,570.05,,,Kepler-57.xml
Kepler-570,kepler-570,19 21 45,+48 47 31,,,,Kepler-570.xml
Kepler-571,kepler-571,19 06 12,+49 25 07,,,,Kepler-571.xml
Kepler-572,kepler-572,19 24 53,+50 34 53,,,,Kepler-572.xml
Kepler-573,kepler-573,19 18 05,+51 14 14,,,,Kepler-573.xml
Kepler-574,kepler-574,19 20 59,+52 08 57,,,,Kepler-574.xml
Kepler-575,kepler-575,19 07 51,+37 49 47,,,,Kepler-575.xml
Kepler-576,kepler-576,19 40 44,+38 39 15,,,,Kepler-576.xml
Kepler-577,kepler-577,19 38 51,+39 04 26,,,,Kepler-577.xml
Kepler-578,kepler-578,19 15 01,+39 33 49,,,,Kepler-578.xml
Kepler-579,kepler-579,19 40 00,+39 57 11,,,,Kepler-579.xml
Kepler-58,kepler-58|koi-1336|kic4077526,19 45 26,+39 06 54,1302.83,,,Kepler-58.xml
Kepler-580,kepler-580,18 53 59.9,+40 33 10,,,,Kepler-580.xml
Kepler-581,kepler-581,19 41 44,+40 38 54,,,,Kepler-581.xml
Kepler-582,kepler-582,19 50 01,+41 03 25,,,,Kepler-582.xml
Kepler-583,kepler-583,18 48 27,+42 21 16,,,,Kepler-583.xml
Kepler-584,kepler-584,19 12 55,+42 24 49,,,,Kepler-584.xml
Kepler-585,kepler-585,19 06 07,+43 52 24,,,,Kepler-585.xml
Kepler-586,kepler-586,19 32 14,+45 33 04,,,,Kepler-586.xml
Kepler-587,kepler-587,19 14 41,+47 23 57,,,,Kepler-587.xml
Kepler-588,kepler-588,18 57 02,+47 41 20,,,,Kepler-588.xml
Kepler-589,kepler-589,18 42 34,+47 45 07,,,,Kepler-589.xml
Kepler-59,kepler-59,19 08 09,+46 38 24,811.89,,,Kepler-59.xml
Kepler-590,kepler-590,19 45 33,+48 14 00,,,,Kepler-590.xml
Kepler-591,kepler-591,19 04 06,+48 25 54,,,,Kepler-591.xml
Kepler-592,kepler-592,19 03 10,+48 40 60,,,,Kepler-592.xml
Kepler-593,kepler-593,19 39 48,+48 39 04,,,,Kepler-593.xml
Kepler-594,kepler-594,19 15 41,+49 45 43,,,,Kepler-594.xml
Kepler-595,kepler-595,19 38 17,+50 40 23,,,,Kepler-595.xml
Kepler-596,kepler-596,19 18 00,+51 41 09,,,,Kepler-596.xml
Kepler-597,kepler-597,19 33 53,+39 15 10,,,,Kepler-597.xml
Kepler-598,kepler-598,19 32 30,+40 56 05,,,,Kepler-598.xml
Kepler-599,kepler-599,19 03 39,+41 04 10,,,,Kepler-599.xml
Kepler-6,kepler-6,19 47 21,+48 14 24,,,,Kepler-6.xml
Kepler-60,kepler-60,19 15 50.698,+42 15 54.04,664.24,,,Kepler-60.xml
Kepler-600,kepler-600,18 55 20,+41 58 43,,,,Kepler-600.xml
Kepler-601,kepler-601,18 48 01,+42 10 36,,,,Kepler-601.xml
Kepler-602,kepler-602,19 44 08,+42 08 31,,,,Kepler-602.xml
Kepler-603,kepler-603,19 37 07,+42 17 27,,,,Kepler-603.xml
Kepler-604,kepler-604,19 29 16,+42 37 35,,,,Kepler-604.xml
Kepler-605,kepler-605,19 09 11,+43 16 48,,,,Kepler-605.xml
Kepler-606,kepler-606,19 29 43,+44 22 53,,,,Kepler-606.xml
Kepler-607,kepler-607,19 24 14,+44 37 57,,,,Kepler-607.xml
Kepler-608,kepler-608,19 35 32,+44 38 17,,,,Kepler-608.xml
Kepler-609,kepler-609,19 28 53,+44 42 00,,,,Kepler-609.xml
Kepler-61,kepler-61|koi-1361|kic6960913,19 41 13,+42 28 31,326.20,,,Kepler-61.xml
Kepler-610,kepler-610,19 32 41,+45 03 56,,,,Kepler-610.xml
Kepler-611,kepler-611,19 04 01,+45 28 49,,,,Kepler-611.xml
Kepler-612,kepler-612,19 25 25,+45 44 52,,,,Kepler-612.xml
Kepler-613,kepler-613,18 51 09,+46 14 42,,,,Kepler-613.xml
Kepler-614,kepler-614,19 53 32,+46 16 34,,,,Kepler-614.xml
Kepler-615,kepler-615,18 49 48,+46 19 17,,,,Kepler-615.xml
Kepler-616,kepler-616,19 39 57,+46 50 18,,,,Kepler-616.xml
Kepler-617,kepler-617,18 54 58,+47 30 59,,,,Kepler-617.xml
Kepler-618,kepler-618,19 04 59.9,+48 03 39,,,,Kepler-618.xml
Kepler-619,kepler-619,19 23 24,+48 24 58,,,,Kepler-619.xml
Kepler-62,kepler-62|kic-9002278|koi-701,18 52 51,+45 20 59,368,,,Kepler-62.xml
Kepler-620,kepler-620,19 24 38,+51 20 06,,,,Kepler-620.xml
Kepler-621,kepler-621,19 23 43,+39 54 51,,,,Kepler-621.xml
Kepler-622,kepler-622,18 57 55,+40 55 59,,,,Kepler-622.xml
Kepler-623,kepler-623,19 47 57,+47 28 39,,,,Kepler-623.xml
Kepler-624,kepler-624,19 40 46,+39 32 23,,,,Kepler-624.xml
Kepler-625,kepler-625,19 28 36,+39 38 15,,,,Kepler-625.xml
Kepler-626,kepler-626,19 14 48,+39 42 30,,,,Kepler-626.xml
Kepler-627,kepler-627,19 28 25,+39 46 04,,,,Kepler-627.xml
Kepler-628,kepler-628,19 21 48,+39 51 17,,,,Kepler-628.xml
Kepler-629,kepler-629,19 17 40,+39 56 42,,,,Kepler-629.xml
Kepler-63,kepler-63,19 16 54,+49 32 54,200,15,15,Kepler-63.xml
Kepler-630,kepler-630,19 33 42,+39 56 33,,,,Kepler-630.xml
Kepler-631,kepler-631,19 47 33,+40 13 42,,,,Kepler-631.xml
Kepler-632,kepler-632,19 49 01,+40 17 19,,,,Kepler-632.xml
Kepler-633,kepler-633,19 40 52,+40 35 32,,,,Kepler-633.xml
Kepler-634,kepler-634,19 24 47,+40 42 10,,,,Kepler-634.xml
Kepler-635,kepler-635,19 19 06,+40 48 03,,,,Kepler-635.xml
Kepler-636,kepler-636,19 34 22,+41 05 43,,,,Kepler-636.xml
Kepler-637,kepler-637,19 29 40,+41 25 01,,,,Kepler-637.xml
Kepler-638,kepler-638,18 59 41,+41 37 02,,,,Kepler-638.xml
Kepler-639,kepler-639,19 28 45,+41 43 37,,,,Kepler-639.xml
Kepler-640,kepler-640,19 44 08,+42 07 54,,,,Kepler-640.xml
Kepler-641,kepler-641,19 27 18,+42 30 58,,,,Kepler-641.xml
Kepler-642,kepler-642,19 35 20,+42 37 30,,,,Kepler-642.xml
Kepler-643,kepler-643,19 21 19,+42 53 54,,,,Kepler-643.xml
Kepler-644,kepler-644,19 41 54,+43 29 35,,,,Kepler-644.xml
Kepler-645,kepler-645,19 21 17,+44 02 09,,,,Kepler-645.xml
Kepler-646,kepler-646,19 21 53,+44 23 14,,,,Kepler-646.xml
Kepler-647,kepler-647,18 59 09,+44 35 30,,,,Kepler-647.xml
Kepler-648,kepler-648,18 55 36,+45 01 01,,,,Kepler-648.xml
Kepler-649,kepler-649,19 02 37,+45 04 46,,,,Kepler-649.xml
Kepler-65,kepler-65,19 14 45,+41 09 04,246.65,,,Kepler-65.xml
Kepler-650,kepler-650,19 16 00,+45 09 15,,,,Kepler-650.xml
Kepler-651,kepler-651,19 09 20,+46 12 13,,,,Kepler-651.xml
Kepler-652,kepler-652,19 12 02,+46 28 25,,,,Kepler-652.xml
Kepler-653,kepler-653,18 48 51,+46 43 04,,,,Kepler-653.xml
Kepler-654,kepler-654,19 48 16,+46 50 03,,,,Kepler-654.xml
Kepler-655,kepler-655,19 49 02,+46 50 35,,,,Kepler-655.xml
Kepler-656,kepler-656,19 13 19,+47 22 54,,,,Kepler-656.xml
Kepler-657,kepler-657,19 24 47,+47 18 28,,,,Kepler-657.xml
Kepler-658,kepler-658,18 51 56,+47 34 43,,,,Kepler-658.xml
Kepler-659,kepler-659,19 10 26,+47 30 35,,,,Kepler-659.xml
Kepler-66,kepler-66,19 35 56,+46 41 16,1107,90,90,Kepler-66.xml
Kepler-660,kepler-660,19 12 33,+47 43 28,,,,Kepler-660.xml
Kepler-661,kepler-661,18 54 51,+47 51 48,,,,Kepler-661.xml
Kepler-662,kepler-662,19 21 52,+47 55 45,,,,Kepler-662.xml
Kepler-663,kepler-663,19 51 14,+47 56 48,,,,Kepler-663.xml
Kepler-664,kepler-664,19 15 01,+48 13 34,,,,Kepler-664.xml
Kepler-665,kepler-665,19 48 06,+48 28 43,,,,Kepler-665.xml
Kepler-666,kepler-666,19 53 50,+48 47 30,,,,Kepler-666.xml
Kepler-667,kepler-667,19 42 13,+49 01 02,,,,Kepler-667.xml
Kepler-668,kepler-668,19 01 59.8,+49 16 38,,,,Kepler-668.xml
Kepler-669,kepler-669,19 27 45,+49 15 14,,,,Kepler-669.xml
Kepler-67,kepler-67,19 36 37,+46 09 59,1107,90,90,Kepler-67.xml
Kepler-670,kepler-670,19 48 04,+49 13 31,,,,Kepler-670.xml
Kepler-671,kepler-671,19 37 04,+49 18 51,,,,Kepler-671.xml
Kepler-672,kepler-672,19 26 53,+49 28 51,,,,Kepler-672.xml
Kepler-673,kepler-673,19 23 09,+50 03 15,,,,Kepler-673.xml
Kepler-674,kepler-674,19 00 42,+50 08 59,,,,Kepler-674.xml
Kepler-675,kepler-675,19 35 20,+50 13 49,,,,Kepler-675.xml
Kepler-676,kepler-676,19 44 53,+50 17 14,,,,Kepler-676.xml
Kepler-677,kepler-677,19 20 24,+50 19 18,,,,Kepler-677.xml
Kepler-678,kepler-678,19 41 49,+50 29 40,,,,Kepler-678.xml
Kepler-679,kepler-679,19 44 05,+50 34 04,,,,Kepler-679.xml
Kepler-68,kepler-68,19 24 07.7644,+49 02 24.957,135,10,10,Kepler-68.xml
Kepler-680,kepler-680,19 26 29,+50 37 06,,,,Kepler-680.xml
Kepler-681,kepler-681,19 17 36,+51 15 01,,,,Kepler-681.xml
Kepler-682,kepler-682,19 16 27,+51 44 15,,,,Kepler-682.xml
